PV_C HP_Heat_P OilBoilerHeat NgasBoilerHeat BiomassBoilerHeat AnlPV_P AnlImport AnlExport AnlOilBoilerFuel AnlNgasBoilerFuel AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost LoadFollowingCapacity
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
8749 0.001015775873353955 3.839504830541211E-4 4.045920986440293E-4 26.04819568154495 14.72 1.49 15.92 4.799381038176514E-4 4.4954677627114366E-4 37.21170811649279 0.0 0.0 2009.0 -749.0 1312.0 783.0 1783.0 871.211882576205 -8.124 4749.2118825762045 0.8370192307692308 
5678 2.990189999566576E-4 1.1131605503478285E-4 1.0969002050541943E-4 26.049479974924502 9.55 2.09 11.35 1.3914506879347856E-4 1.2187780056157714E-4 37.21354282132072 0.0 0.0 2010.0 -460.0 1601.0 706.0 1783.0 89.21188257620497 -5.214 4179.2118825762045 0.6461538461538461 
5548 0.002393966576475859 6.642640615868324E-4 2.898615470909221E-4 26.046651907814848 9.33 2.12 11.16 8.303300769835405E-4 3.220683856565801E-4 37.20950272544979 0.0 0.0 2009.0 -447.0 1614.0 703.0 1783.0 56.25787117016034 -5.090 4156.257871170161 0.6384615384615385 
5962 4.6973312292775826E-4 1.576213203730333E-4 3.2289916095311496E-4 26.04904974639575 10.03 2.03 11.76 1.970266504662916E-4 3.587768455034611E-4 37.212928209136784 0.0 0.0 2009.0 -487.0 1573.0 713.0 1783.0 161.21188257620497 -5.483 4230.2118825762045 0.6629807692307692 
9059 1.2954206962543385E-4 3.1830719534211167E-4 1.0584687923361398E-4 26.0494463038558 15.24 1.44 16.39 3.9788399417763954E-4 1.1760764359290442E-4 37.213494719794 0.0 0.0 2010.0 -776.0 1285.0 791.0 1783.0 950.211882576205 -8.418 4809.2118825762045 0.8572115384615385 
7539 3.079400304871159E-4 1.0104406554016373E-4 3.372417384457774E-4 26.04925377416553 12.68 1.71 14.10 1.2630508192520466E-4 3.7471304271753046E-4 37.21321967737933 0.0 0.0 2010.0 -640.0 1421.0 753.0 1783.0 563.211882576205 -6.977 4520.2118825762045 0.7600961538461538 
6430 4.167074803602533E-4 7.615044525871911E-4 4.84901900583396E-4 26.048336886166467 10.82 1.93 12.45 9.518805657339888E-4 5.387798895371066E-4 37.21190983738067 0.0 0.0 2009.0 -533.0 1528.0 725.0 1783.0 280.21188257620497 -5.926 4316.2118825762045 0.6913461538461537 
9555 5.193828968228959E-4 2.972940988290041E-4 2.4901983493858714E-4 26.04893430316941 16.08 1.36 17.14 3.716176235362551E-4 2.7668870548731904E-4 37.212763290242016 0.0 0.0 2009.0 -817.0 1244.0 803.0 1783.0 1076.211882576205 -8.888 4906.2118825762045 0.8894230769230769 
7456 0.004747900270624625 3.9803766936947566E-4 0.0012819472428130638 26.04357211481719 12.54 1.72 13.97 4.975470867118445E-4 0.0014243858253478487 37.20510302116742 0.0 0.0 2009.0 -632.0 1429.0 751.0 1783.0 542.3038597641157 -6.897 4505.303859764115 0.7543269230769231 
5408 0.0010684570167679489 3.041036054255167E-4 1.5158411711727512E-4 26.04847585526069 9.10 2.16 10.96 3.8012950678189585E-4 1.6842679679697235E-4 37.21210836465813 0.0 0.0 2009.0 -433.0 1628.0 699.0 1783.0 20.21188257620497 -4.958 4130.2118825762045 0.6307692307692307 
8501 0.004360238476901777 2.4014936989016572E-4 1.5942398155978127E-4 26.045240188171647 14.30 1.54 15.54 3.0018671236270715E-4 1.7713775728864586E-4 37.20748598310235 0.0 0.0 2009.0 -727.0 1333.0 777.0 1783.0 808.3038597641157 -7.888 4701.303859764115 0.821153846153846 
7835 4.6063648436504064E-4 2.841204375769323E-4 2.6807139713779275E-4 26.04898717168092 13.18 1.65 14.54 3.551505469711654E-4 2.978571079308808E-4 37.21283881668703 0.0 0.0 2009.0 -667.0 1394.0 760.0 1783.0 638.211882576205 -7.258 4575.2118825762045 0.7783653846153845 
8530 0.0013965638000704168 9.100907555212068E-5 0.001333501196991977 26.047178925927387 14.35 1.53 15.59 1.1376134444015085E-4 0.001481667996657752 37.2102556084677 0.0 0.0 2009.0 -730.0 1331.0 778.0 1783.0 815.211882576205 -7.916 4707.2118825762045 0.8230769230769232 
5765 0.0011714030668885786 2.837684492173862E-4 1.7403353865704408E-4 26.04837079494524 9.70 2.07 11.48 3.5471056152173275E-4 1.9337059850782674E-4 37.2119582784932 0.0 0.0 2009.0 -468.0 1593.0 708.0 1783.0 111.21188257620497 -5.296 4195.2118825762045 0.6514423076923077 
8227 0.0011651573835335068 8.544798073029726E-5 1.7512009080485717E-4 26.048574274544933 13.84 1.58 15.13 1.0680997591287158E-4 1.9457787867206353E-4 37.21224896363562 0.0 0.0 2009.0 -703.0 1358.0 770.0 1783.0 738.211882576205 -7.629 4649.2118825762045 0.8033653846153846 
6606 0.0013977747928776956 3.5017341135852283E-4 2.4461614624811086E-4 26.048007435649517 11.11 1.89 12.71 4.3771676419815354E-4 2.717957180534565E-4 37.211439193785026 0.0 0.0 2009.0 -550.0 1511.0 729.0 1783.0 325.21188257620497 -6.093 4348.2118825762045 0.701923076923077 
8257 5.936577605161903E-4 8.26247152148857E-4 3.058942585321865E-4 26.0482742008288 13.89 1.58 15.17 0.0010328089401860712 3.398825094802072E-4 37.21182028689829 0.0 0.0 2009.0 -706.0 1355.0 771.0 1783.0 746.211882576205 -7.657 4655.2118825762045 0.8052884615384616 
6430 4.167074803602533E-4 7.615044525871911E-4 4.84901900583396E-4 26.048336886166467 10.82 1.93 12.45 9.518805657339888E-4 5.387798895371066E-4 37.21190983738067 0.0 0.0 2009.0 -533.0 1528.0 725.0 1783.0 280.21188257620497 -5.926 4316.2118825762045 0.6913461538461537 
9619 1.2179673909700274E-4 2.399669517911654E-4 2.5076632751045553E-4 26.0493874699816 16.18 1.35 17.24 2.999586897389567E-4 2.78629252789395E-4 37.213410671402286 0.0 0.0 2010.0 -822.0 1239.0 805.0 1783.0 1092.211882576205 -8.948 4919.2118825762045 0.8937499999999999 
5426 0.004273689243592439 7.884916441955014E-4 1.5159540930803628E-4 26.044786223702904 9.13 2.15 10.98 9.856145552443766E-4 1.6843934367559587E-4 37.20683746243272 0.0 0.0 2009.0 -435.0 1626.0 700.0 1783.0 25.257871170160342 -4.974 4134.257871170161 0.63125 
7589 0.001206156319500243 1.0518351221318067E-4 1.7675466108383066E-4 26.048511905507205 12.77 1.70 14.17 1.3147939026647584E-4 1.9639406787092296E-4 37.21215986501029 0.0 0.0 2009.0 -644.0 1416.0 754.0 1783.0 576.211882576205 -7.024 4529.2118825762045 0.7629807692307692 
5503 9.104621605229043E-4 2.599243782975274E-4 1.3946775340304448E-4 26.04869014570778 9.26 2.13 11.10 3.249054728719092E-4 1.5496417044782721E-4 37.21241449386826 0.0 0.0 2009.0 -442.0 1618.0 702.0 1783.0 44.21188257620497 -5.048 4147.2118825762045 0.6360576923076923 
