PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
969;4;8726;0;7;9178;0.23395599747468634;13.3694837897364;6.010361171503911;1.27;0.00;39.30;9.07;0.0;0.03;41.36;0.02;214.7;0.23;36.61;129.73;85.72;49.16;0.03;;;-4025;10346;27397;34707.0;74418;15.465;24.164615698;146868.0;0.7590234998859229;0.2885486226487392;0.001135129110411232;0.033237685929689655;49.237411597140635;0.02;214.7;0.23;85.71577142113698;4.8628250307360924E-4;0.012160339049190678;0.08782908601643816;0.0028432000043915836;0.1306370899015923;0.0;0.0075073872346381;0.08782908601643703;0.0027155677981875715;0.13063708990159306;31368;53290;
982;14;8601;8;52;9798;0.11341540685496006;18.187762563926817;1.1920823973134929;1.28;0.02;38.75;1.80;0.04;0.23;44.15;0.07;211.62;0.10;34.20;135.16;116.63;52.63;0.20;;;-4375;14576;26858;33470.0;71819;23.116;32.350417560000004;146723.0;0.8014006530071452;0.3217128601265651;0.03961940538434735;0.23448151002739848;52.56431382531748;0.07;211.62;0.10;116.60720212610401;0.02103419174581963;0.0346032539570662;0.015601529041661379;0.006410236573599142;0.035766195536813705;0.01137016563122657;0.032481952487504885;0.015601529041661724;0.006410236573599197;0.035766195536814135;31266;53317;
1054;71;8589;7;4;9854;0.15045878221424558;9.594638135455165;9.785206825785146;1.38;0.07;38.69;14.77;0.03;0.02;44.41;0.32;211.34;0.13;38.06;126.27;61.54;53.28;0.01;;;-3811;7282;27845;35513.0;76357;9.410;17.773079308000003;146997.0;0.7328308954691402;0.25898193100723793;0.03440067279477245;0.01723154255901604;52.86563155493837;0.32;211.34;0.13;61.5141034778437;0.018624144400436735;0.013981965470763264;0.0016156771633878682;0.046248662750338246;0.06998833242931948;0.00915727072906037;0.006382696374088963;0.001615677163387893;0.043961658846059556;0.06998833242931954;32531;53347;
1131;1;8603;7;23;9828;0.3757294349202443;4.579503206912157;14.800341754328151;1.48;0.00;38.72;22.34;0.03;0.1;44.29;0.0;211.68;0.37;40.67;121.31;29.39;52.66;0.10;;;-3476;3003;28414;36717.0;79021;1.461;9.319513806;147155.0;0.6986714975845412;0.22014117216684573;0.03637419230527997;0.10244236058077966;52.725286095893836;0.0;211.68;0.37;29.36056891047591;0.018569637176456544;0.004877581525322443;0.062315237164200704;6.332333178800015E-4;0.2893337457363846;0.009146439070197692;0.004877581525322521;0.06231523716420095;0.0;0.28933374573639337;35133;53380;
34025;5945;7384;5;2;10561;3.4664863518061737;2.777665373549858E-4;19.379567194702954;44.44;7.12;33.17;29.25;0.02;0.01;47.59;26.79;181.69;3.45;28.79;158.16;0.02;93.63;0.01;;;-5748;-1704;29671;36930.0;83813;-10.239;1.0486740220000002;148710.0;0.801672384219554;0.11749037103407127;0.02575299472636532;0.011245872460475748;56.65990198362002;26.79;181.69;3.45;0.0017808446009440204;0.015005292191998377;0.007227780897963204;2.1602131016416872;0.6923620626765036;0.5916781143980211;0.006532962368517132;0.003227539037497386;2.1602131016417214;0.6923620626765117;0.5916781143980282;36021;67373;
35423;645;7089;7;10;17462;6.99883296012613;6.50903479108898E-4;19.3791940577612;46.27;0.78;31.94;29.25;0.03;0.05;78.69;2.91;174.43;6.96;30.69;156.78;0.03;89.90;0.03;;;-5587;-1701;29467;36736.0;83544;-9.973;1.1244194420000002;148046.0;0.8081648489028753;0.1308506908992385;0.033673491557577484;0.04774204543507648;93.6801243118764;2.91;174.43;6.96;0.004173137475610878;0.02691107946905423;0.03649334259505829;6.837116673116903;0.0319845044760621;0.0663273604690526;0.010265208125127918;0.016189626274403807;6.837116673117082;0.03198450447606328;0.06632736046905281;36617;67811;
2091;191;7470;3;20;15830;0.24486656478263238;0.046394458785910205;19.3334505024544;2.73;0.22;33.66;29.18;0.01;0.09;71.34;0.86;183.81;0.20;40.28;120.60;0.31;86.03;0.06;;;-3483;278;29052;37000.0;81011;-6.268;1.5514029040000001;147341.0;0.6886396712610221;0.16940090106658806;0.013392839113925158;0.0892348900141716;84.92630759864302;0.86;183.81;0.20;0.2974487936141061;0.009214740736814456;0.07308258355152297;0.09739647010572665;0.053013691733701525;0.012159078654866784;0.0034418142023347736;0.030077646696790732;0.09739647010572927;0.05301369173370257;0.012159078654866845;36856;53954;
1017;12;8601;7;18;9833;0.09139906342318138;17.220903607811575;2.1589413534287347;1.33;0.01;38.76;3.26;0.03;0.08;44.31;0.05;211.63;0.06;34.61;134.15;110.43;52.81;0.06;;;-4312;13750;26969;33701.0;72330;21.547;30.683252098;146750.0;0.7930451127819549;0.3148043612061164;0.034664288554671435;0.08147120402296168;52.75359530552145;0.05;211.63;0.06;110.40837930076233;0.01650749324561852;0.04541522861336089;0.015277708278246737;0.005329244934554317;0.008869388351400914;0.00870333769195376;0.02352664308962888;0.015277708278247152;0.00532479346128353;0.008869388351401102;31266;53328;
1019;23;8599;12;8;9838;0.12103484031838838;11.498460142340384;7.881384818899925;1.33;0.02;38.75;11.90;0.05;0.04;44.33;0.1;211.58;0.09;37.20;128.13;73.76;52.87;0.03;;;-3931;8891;27624;35066.0;75349;12.453;21.000962960000003;146930.0;0.7466467958271236;0.27367771635981797;0.05846002767403033;0.036386539503561736;52.779625571473446;0.1;211.58;0.09;73.7200775105869;0.0427028644105517;0.018710303800264106;0.036841494102032496;0.014169511396274106;0.008610666609265969;0.016918663713798125;0.010757004133786757;0.03684149410203253;0.013545956414513904;0.008610666609266104;31561;53329;
39356;10290;7392;1;27;6154;3.8464559514360577;1.7082127529456724E-4;19.37967413996501;51.41;11.88;33.21;29.25;0.0;0.12;27.73;46.37;181.88;3.82;26.13;167.19;0.00;98.54;0.09;;;-6296;-2036;29930;36937.0;84577;-11.153;0.9644304340000001;149408.0;0.8288458240439032;0.10384108973091355;0.0030013070439364508;0.12476938703899841;33.01698281172943;46.37;181.88;3.82;0.0010951864422960589;0.0012872537451378585;0.06634596297520999;0.42328998842724197;2.7938469330161513;0.561685813272317;0.0;0.034886578764736664;0.4232899884272371;2.7938469330161766;0.5616858132723109;35411;69992;
1076;33;9186;2;26;6612;0.10949753922638092;17.624704592490378;1.7551403687499305;1.41;0.04;41.40;2.65;0.01;0.12;29.8;0.15;226.04;0.07;35.61;133.23;113.01;35.66;0.08;;;-4217;13475;26872;34023.0;72367;22.390;31.409433898;146737.0;0.785923753665689;0.3226155425466892;0.01191579125554338;0.11639829890014106;35.4747881725918;0.15;226.04;0.07;112.99726855383356;0.006630564113385664;0.06491349027692528;0.015409351758534593;0.012950700429012422;0.00959343264852296;0.003131294829103176;0.03455049101808829;0.015409351758535066;0.01295070042901249;0.009593432648523182;31733;53221;
996;12;8600;7;7;9847;0.12563640855218514;17.431543294461076;1.9483016667792323;1.30;0.01;38.75;2.94;0.03;0.03;44.38;0.05;211.62;0.12;34.52;134.36;111.78;52.81;0.02;;;-4325;13928;26945;33649.0;72220;21.877;31.032995736;146742.0;0.7948416246999578;0.3161997057674367;0.034649458089725464;0.030149742275594856;52.83010712014453;0.05;211.62;0.12;111.7588535237783;0.01405641332081388;0.010156168305124192;0.08151427037416079;0.001470806207442586;0.018438750344643696;0.008074333643901884;0.0068055759551457614;0.08151427037416159;0.0014708062074426204;0.01843875034464391;31266;53322;
