PV_C HP_Heat_P AnlPV_P AnlImport AnlExport AnlOilBoilerHeat AnlOilBoilerFuel AnlNgasBoilerHeat AnlNgasBoilerFuel AnlBiomassBoilerHeat AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
14052 13.47468253582615 15.06 4.11 18.84 0 0 0 0 8.805317464173852 12.57902494881979 0.0 0.0 679.0 -720.0 4.0 911.0 1567.0 2742.1298832101024 -8.297 5224.129883210102 
6468 13.474929552745259 6.93 4.41 11.01 0 0 0 0 8.805070447254742 12.578672067506776 0.0 0.0 679.0 -300.0 424.0 721.0 1567.0 811.1298832101024 -3.718 3523.1298832101024 
6879 13.4776855931839 7.37 4.39 11.43 0 0 0 0 8.802314406816102 12.574734866880146 0.0 0.0 679.0 -325.0 399.0 732.0 1567.0 916.2218603980132 -3.966 3614.221860398013 
9413 13.467587340517909 10.09 4.26 14.02 0 0 0.0024126594820916836 0.0026807327578796483 8.81 12.585714285714287 0.0 0.0 680.0 -476.0 249.0 795.0 1567.0 1560.8613318281157 -5.497 4171.861331828116 
8932 13.4756974302706 9.57 4.29 13.53 0 0 0 0 8.804302569729401 12.577575099613432 0.0 0.0 679.0 -448.0 276.0 783.0 1567.0 1439.1758718040578 -5.206 4065.175871804058 
6684 13.47684462621201 7.16 4.40 11.23 0 0 0 0 8.803155373787991 12.57593624826856 0.0 0.0 679.0 -313.0 411.0 727.0 1567.0 866.1758718040578 -3.848 3571.175871804058 
12739 13.463589779840929 13.65 4.15 17.47 0 0 0.006410220159072111 0.007122466843413456 8.81 12.585714285714287 0.0 1.0 680.0 -659.0 67.0 879.0 1567.0 2407.7693546402047 -7.505 4920.769354640204 
6658 13.525107827229974 7.14 4.41 11.20 0 0 0 0 8.754892172770028 12.506988818242897 0.0 0.0 675.0 -310.0 410.0 726.0 1569.0 861.9325260595906 -3.824 3566.9325260595906 
9769 13.463146288878656 10.47 4.25 14.39 0 0 0.006853711121344475 0.007615234579271638 8.81 12.585714285714287 0.0 1.0 680.0 -497.0 228.0 804.0 1567.0 1651.769354640205 -5.712 4250.769354640205 
10206 13.478153969318791 10.94 4.23 14.84 0 0 0 0 8.80184603068121 12.574065758116015 0.0 0.0 679.0 -522.0 202.0 815.0 1567.0 1763.3524459981338 -5.974 4347.352445998134 
10724 13.464666417622457 11.49 4.21 15.38 0 0 0.005333582377543777 0.005926202641715308 8.81 12.585714285714287 0.0 1.0 680.0 -552.0 174.0 828.0 1566.0 1894.769354640205 -6.288 4462.769354640205 
7417 13.455141995887482 7.95 4.35 11.98 0 0 0.014858004112518586 0.016508893458353983 8.81 12.585714285714287 0.0 1.0 680.0 -358.0 369.0 745.0 1566.0 1052.4548146642628 -4.291 3732.454814664263 
6157 13.490793609769902 6.60 4.44 10.70 0 0 0 0 8.789206390230099 12.556009128900142 0.0 0.0 678.0 -281.0 442.0 714.0 1568.0 732.7589631619868 -3.528 3456.7589631619867 
11180 13.131931079242168 11.98 4.13 15.89 0 0 0.33806892075783246 0.3756321341753694 8.81 12.585714285714287 0.0 32.0 680.0 -583.0 174.0 841.0 1558.0 1996.1018548033592 -6.547 4569.101854803359 
8333 13.468026565439606 8.93 4.31 12.91 0 0 0.001973434560394338 0.00219270506710482 8.81 12.585714285714287 0.0 0.0 680.0 -412.0 313.0 768.0 1567.0 1285.8613318281157 -4.845 3933.861331828116 
7536 13.14330220262533 8.08 4.29 12.14 0 0 0.32669779737467053 0.3629975526385228 8.81 12.585714285714287 0.0 31.0 680.0 -371.0 385.0 749.0 1559.0 1069.4623833732567 -4.347 3762.4623833732567 
14303 13.461809530026997 15.33 4.10 19.11 0 0 0.008190469973003545 0.00910052219222616 8.81 12.585714285714287 0.0 1.0 680.0 -731.0 -6.0 918.0 1566.0 2805.7233660462493 -8.449 5283.72336604625 
8822 13.4756974302706 9.46 4.29 13.41 0 0 0 0 8.804302569729401 12.577575099613432 0.0 0.0 679.0 -441.0 283.0 780.0 1568.0 1411.1758718040578 -5.139 4042.175871804058 
