CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
5361 5107 11551 8086.0 14.14 11.37 14.22 27.48 8.86 14.08 0.33 11.52 35.99 46.03 3217.0 2761.0 2486.0 -552.0 8002.0 942.0 3102.0 3071.1925007111076 3.023 15075.192500711108 0.43390699377517394 
1985 1592 5329 10202.0 6.52 8.36 10.45 24.63 7.94 20.70 3.54 5.03 35.99 46.78 3217.0 2761.0 2526.0 5.0 8591.0 702.0 3022.0 630.1925007111076 8.593 12912.192500711108 0.3138044672281216 
4721 2102 8994 9411.0 11.01 11.61 14.52 27.22 8.78 14.04 0.36 8.74 35.99 46.58 3217.0 2761.0 2515.0 -427.0 8157.0 850.0 3095.0 1804.1925007111076 4.632 13870.192500711108 0.33321127792017574 
2446 1368 5328 11006.0 6.52 9.26 11.57 22.44 7.24 21.77 1.95 5.04 35.99 50.36 3217.0 2761.0 2719.0 -106.0 8676.0 710.0 2962.0 619.1925007111076 7.672 12938.192500711108 0.2559502013914317 
5585 2298 7823 8123.0 9.57 11.88 14.85 27.40 8.84 13.54 0.35 7.51 35.99 46.61 3217.0 2761.0 2517.0 -363.0 8223.0 838.0 3100.0 1577.1925007111076 5.336 13696.192500711108 0.2878066642255584 
2878 1530 5328 10471.0 6.52 10.26 12.83 24.06 7.76 18.89 1.46 5.03 35.99 49.27 3217.0 2761.0 2661.0 -142.0 8584.0 719.0 3007.0 668.1925007111076 7.397 12946.192500711108 0.2376418894177957 
5176 2057 11423 9795.0 13.98 11.28 14.10 27.15 8.76 14.53 0.33 11.38 35.99 46.37 3217.0 2761.0 2504.0 -547.0 8025.0 919.0 3093.0 2442.1925007111076 3.103 14444.192500711108 0.4287806664225559 
5964 5532 13301 8086.0 16.28 11.19 13.99 27.49 8.87 14.30 0.33 13.47 35.99 45.85 3217.0 2761.0 2476.0 -620.0 7923.0 1000.0 3103.0 3634.1925007111076 1.900 15618.192500711108 0.5053094104723544 
3480 1128 6589 12440.0 8.06 9.56 11.95 19.49 6.29 24.34 0.49 6.37 35.99 54.32 3217.0 2761.0 2933.0 -290.0 8707.0 760.0 2881.0 964.1925007111076 6.070 13289.192500711108 0.25119004027828634 
4896 5005 12800 8086.0 15.67 11.23 14.04 27.49 8.87 14.25 0.34 12.91 35.99 45.89 3217.0 2761.0 2478.0 -601.0 7944.0 964.0 3103.0 3344.1925007111076 2.228 15313.192500711108 0.4851702673013548 
4721 1461 8741 11643.0 10.70 10.47 13.09 23.40 7.55 19.30 0.35 8.51 35.99 50.29 3217.0 2761.0 2716.0 -417.0 8365.0 840.0 2990.0 1636.1925007111076 4.758 13805.192500711108 0.32442328817283045 
5870 1419 7994 11773.0 9.78 10.46 13.07 22.96 7.41 19.74 0.35 7.73 35.99 50.82 3217.0 2761.0 2744.0 -375.0 8435.0 843.0 2977.0 1501.1925007111076 5.210 13730.192500711108 0.29586232149395825 
5544 5224 12588 8086.0 15.41 11.26 14.08 27.48 8.87 14.22 0.33 12.68 35.99 45.92 3217.0 2761.0 2480.0 -594.0 7954.0 973.0 3102.0 3368.1925007111076 2.359 15355.192500711108 0.4763822775540095 
5443 5712 13057 8086.0 15.98 11.21 14.02 27.49 8.87 14.27 0.33 13.20 35.99 45.88 3217.0 2761.0 2477.0 -612.0 7933.0 985.0 3102.0 3579.1925007111076 2.057 15557.192500711108 0.495422922006591 
5510 1408 5945 10898.0 7.28 10.81 13.51 22.83 7.36 19.44 0.37 5.64 35.99 51.33 3217.0 2761.0 2772.0 -260.0 8578.0 785.0 2973.0 948.1925007111076 6.421 13254.192500711108 0.2200659099231051 
5542 5643 14821 8086.0 18.14 11.05 13.81 27.49 8.87 14.47 0.32 15.19 35.99 45.72 3217.0 2761.0 2469.0 -673.0 7863.0 1031.0 3102.0 4020.1925007111076 0.914 15974.192500711108 0.5679238374221897 
5227 5112 11005 8086.0 13.47 11.43 14.29 27.48 8.86 14.01 0.34 10.92 35.99 46.10 3217.0 2761.0 2489.0 -528.0 8029.0 926.0 3102.0 2926.1925007111076 3.370 14941.192500711108 0.41230318564628343 
5778 5961 12210 8086.0 14.94 11.30 14.13 27.48 8.87 14.17 0.33 12.25 35.99 45.96 3217.0 2761.0 2482.0 -579.0 7970.0 972.0 3102.0 3431.1925007111076 2.601 15433.192500711108 0.46063712925668254 
5941 1430 12225 11739.0 14.96 9.96 12.44 23.11 7.45 20.23 0.33 12.34 35.99 50.17 3217.0 2761.0 2709.0 -584.0 8190.0 951.0 2981.0 2584.1925007111076 2.553 14680.192500711108 0.463932625411937 
5472 1298 5551 11223.0 6.79 10.53 13.16 21.60 6.97 21.02 0.37 5.27 35.99 52.59 3217.0 2761.0 2840.0 -240.0 8666.0 774.0 2939.0 828.1925007111076 6.634 13179.192500711108 0.20651775906261444 
5319 2998 10358 7893.0 12.68 11.52 14.39 27.47 8.86 13.91 0.34 10.21 35.99 46.18 3217.0 2761.0 2494.0 -498.0 8064.0 900.0 3103.0 2344.1925007111076 3.777 14368.192500711108 0.3863053826437203 
5287 2908 7254 7623.0 8.88 12.00 15.00 27.45 8.85 13.33 0.36 6.93 35.99 46.66 3217.0 2761.0 2520.0 -331.0 8258.0 821.0 3101.0 1531.1925007111076 5.675 13667.192500711108 0.2669351885756133 
5264 2996 14251 8086.0 17.44 11.10 13.87 27.49 8.87 14.41 0.32 14.54 35.99 45.76 3217.0 2761.0 2471.0 -653.0 7885.0 997.0 3102.0 3334.1925007111076 1.286 15276.192500711108 0.5441230318564628 
4065 1047 5527 12259.0 6.76 9.57 11.97 18.34 5.92 25.46 0.38 5.35 35.99 55.77 3217.0 2761.0 3011.0 -243.0 8833.0 744.0 2848.0 707.1925007111076 6.594 13108.192500711108 0.2098132552178689 
4664 1220 9220 12390.0 11.28 9.61 12.01 20.70 6.68 23.06 0.34 9.11 35.99 52.85 3217.0 2761.0 2854.0 -447.0 8471.0 849.0 2913.0 1716.1925007111076 4.417 13926.192500711108 0.34602709630172096 
3480 1133 6474 12360.0 7.92 9.60 11.99 19.55 6.31 24.23 0.49 6.25 35.99 54.28 3217.0 2761.0 2931.0 -283.0 8712.0 757.0 2883.0 935.1925007111076 6.141 13264.192500711108 0.24679604540461372 
5949 5581 12950 8086.0 15.85 11.22 14.03 27.49 8.87 14.26 0.33 13.08 35.99 45.89 3217.0 2761.0 2478.0 -608.0 7938.0 991.0 3102.0 3553.1925007111076 2.126 15542.192500711108 0.49102892713291835 
5254 1024 12939 12998.0 15.84 8.51 10.64 18.07 5.83 27.07 0.33 13.39 35.99 55.12 3217.0 2761.0 2976.0 -625.0 8412.0 953.0 2842.0 2662.1925007111076 1.948 14849.192500711108 0.5023800805565727 
5305 2865 9363 7623.0 11.46 11.65 14.56 27.47 8.86 13.75 0.34 9.14 35.99 46.31 3217.0 2761.0 2501.0 -447.0 8122.0 874.0 3101.0 2061.1925007111076 4.398 14114.192500711108 0.3471255950201392 
5560 5100 13944 8086.0 17.07 11.13 13.91 27.49 8.87 14.38 0.32 14.20 35.99 45.79 3217.0 2761.0 2473.0 -643.0 7897.0 1006.0 3102.0 3690.1925007111076 1.484 15653.192500711108 0.5316733797143903 
5994 2359 9230 8412.0 11.30 11.66 14.57 27.43 8.85 13.78 0.34 9.00 35.99 46.36 3217.0 2761.0 2504.0 -440.0 8132.0 882.0 3100.0 1972.1925007111076 4.480 14045.192500711108 0.3419992676675211 
4664 1406 8328 11813.0 10.19 10.36 12.95 22.83 7.36 20.00 0.35 8.09 35.99 50.90 3217.0 2761.0 2749.0 -394.0 8420.0 828.0 2973.0 1519.1925007111076 5.005 13714.192500711108 0.3090443061149762 
5361 5107 11380 8086.0 13.93 11.39 14.24 27.48 8.86 14.06 0.33 11.34 35.99 46.05 3217.0 2761.0 2487.0 -545.0 8010.0 938.0 3101.0 3028.1925007111076 3.132 15035.192500711108 0.427316001464665 
5779 2057 14036 9795.0 17.18 11.01 13.77 27.16 8.76 14.85 0.32 14.30 35.99 46.10 3217.0 2761.0 2489.0 -646.0 7910.0 996.0 3093.0 3140.1925007111076 1.423 15104.192500711108 0.5353350421091176 
