CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
60 0 84 1499 536 247 196 0.01 0.02 0.00 0.00 1.09 1.73 0.05 0.13 0.00 1.23 -0.533 4689 
58 0 83 1499 942 644 196 0.01 0.01 0.00 0.00 0.83 2.07 0.06 0.09 0.00 1.27 -0.555 5264 
63 0 83 1498 1437 627 196 0.01 0.01 0.00 0.00 0.68 2.27 0.05 0.08 0.00 1.29 -0.564 5776 
0 44 243 59 201 7 53 0.00 0.00 0.52 0.64 0.15 0.77 0.01 0.00 0.00 0.14 0.220 3092 
3 58 251 3 316 1 0 0.01 0.01 0.51 0.56 0.01 1.21 0.00 0.00 0.00 0.37 0.085 3176 
2 45 226 421 277 1 35 0.00 0.01 0.52 0.18 0.91 1.06 0.00 0.00 0.00 0.72 -0.236 3436 
64 0 83 1498 1241 617 196 0.01 0.01 0.00 0.00 0.73 2.20 0.06 0.08 0.00 1.29 -0.561 5569 
0 47 241 43 372 10 31 0.00 0.00 0.52 0.42 0.11 1.43 0.01 0.00 0.00 0.53 -0.048 3259 
0 46 237 59 373 10 28 0.00 0.00 0.52 0.40 0.15 1.43 0.01 0.00 0.00 0.55 -0.065 3271 
0 54 226 424 345 11 4 0.00 0.00 0.52 0.14 0.80 1.30 0.01 0.00 0.00 0.81 -0.294 3509 
239 0 83 1498 1028 527 196 0.01 0.02 0.00 0.00 0.80 2.11 0.06 0.09 0.00 1.28 -0.556 5330 
0 53 206 492 354 12 8 0.00 0.00 0.52 0.12 0.85 1.32 0.01 0.00 0.00 0.86 -0.326 3567 
0 36 238 60 266 1 77 0.00 0.00 0.51 0.55 0.15 1.02 0.00 0.01 0.00 0.30 0.113 3159 
2 45 245 27 36 1 44 0.01 0.02 0.50 1.19 0.07 0.14 0.00 0.00 0.00 0.00 0.521 2904 
0 51 238 115 283 2 15 0.00 0.00 0.52 0.46 0.29 1.09 0.00 0.00 0.00 0.41 0.023 3214 
64 0 83 1499 1258 461 196 0.01 0.01 0.00 0.00 0.73 2.21 0.05 0.08 0.00 1.28 -0.560 5526 
0 42 227 353 345 0 34 0.00 0.00 0.52 0.18 0.71 1.30 0.00 0.00 0.00 0.76 -0.253 3451 
34 0 94 1261 413 201 196 0.01 0.02 0.00 0.01 1.21 1.50 0.06 0.17 0.00 1.17 -0.506 4351 
0 1 193 492 354 12 205 0.00 0.00 0.05 0.09 0.91 1.34 0.01 0.32 0.00 0.90 -0.352 3644 
0 54 255 16 30 2 14 0.00 0.00 0.52 1.27 0.04 0.11 0.00 0.00 0.00 0.00 0.556 2877 
0 29 178 737 448 235 89 0.00 0.00 0.48 0.05 0.84 1.52 0.09 0.02 0.00 1.06 -0.439 3941 
34 0 94 1261 387 199 196 0.01 0.02 0.00 0.01 1.26 1.43 0.06 0.18 0.00 1.16 -0.502 4325 
0 44 192 588 372 1 42 0.00 0.00 0.52 0.09 0.89 1.38 0.00 0.00 0.00 0.92 -0.363 3655 
0 48 226 335 372 10 24 0.00 0.00 0.52 0.17 0.64 1.39 0.01 0.00 0.00 0.77 -0.264 3471 
54 0 83 1499 971 436 196 0.01 0.01 0.00 0.00 0.82 2.09 0.05 0.09 0.00 1.27 -0.553 5207 
0 48 232 86 394 2 27 0.00 0.00 0.52 0.34 0.20 1.49 0.00 0.00 0.00 0.59 -0.112 3309 
0 42 212 488 346 0 38 0.00 0.00 0.52 0.12 0.86 1.30 0.00 0.00 0.00 0.85 -0.319 3551 
32 3 128 1106 371 161 182 0.01 0.02 0.09 0.02 1.21 1.38 0.06 0.16 0.00 1.12 -0.481 4174 
0 2 153 690 356 203 189 0.00 0.00 0.07 0.05 1.05 1.34 0.09 0.25 0.00 1.02 -0.423 3850 
60 0 83 1498 1199 467 196 0.01 0.01 0.00 0.00 0.74 2.19 0.05 0.08 0.00 1.28 -0.559 5462 
59 0 83 1498 1473 951 196 0.01 0.01 0.00 0.00 0.68 2.28 0.06 0.07 0.00 1.30 -0.566 5939 
60 0 84 1466 536 247 196 0.01 0.02 0.00 0.00 1.09 1.73 0.05 0.13 0.00 1.22 -0.532 4666 
36 0 111 828 470 8 200 0.02 0.03 0.00 0.02 0.97 1.64 0.00 0.20 0.00 1.08 -0.461 4031 
0 45 248 10 366 1 32 0.00 0.00 0.52 0.49 0.03 1.41 0.00 0.00 0.00 0.49 -0.001 3225 
2 0 124 1426 455 255 196 0.00 0.00 0.00 0.02 1.18 1.60 0.06 0.16 0.00 1.20 -0.518 4496 
0 48 226 260 372 10 24 0.00 0.00 0.52 0.20 0.54 1.39 0.01 0.00 0.00 0.71 -0.220 3417 
54 0 83 1490 1289 712 196 0.01 0.01 0.00 0.00 0.72 2.22 0.06 0.08 0.00 1.29 -0.562 5642 
0 50 247 16 380 1 28 0.00 0.00 0.52 0.45 0.04 1.46 0.00 0.00 0.00 0.52 -0.030 3245 
0 0 128 1116 545 392 196 0.00 0.00 0.00 0.02 0.99 1.75 0.08 0.16 0.00 1.19 -0.509 4417 
0 1 148 737 448 235 193 0.00 0.00 0.05 0.04 0.92 1.59 0.09 0.21 0.00 1.08 -0.453 3988 
0 44 203 588 324 1 42 0.00 0.00 0.52 0.11 0.98 1.23 0.00 0.00 0.00 0.89 -0.341 3605 
0 50 250 2 380 1 32 0.00 0.00 0.52 0.48 0.01 1.46 0.00 0.00 0.00 0.51 -0.014 3234 
0 58 230 325 290 15 0 0.00 0.00 0.52 0.23 0.74 1.11 0.01 0.00 0.00 0.66 -0.189 3380 
0 46 255 1 69 2 46 0.00 0.00 0.52 1.16 0.01 0.26 0.00 0.00 0.00 0.00 0.507 2908 
0 58 257 7 183 7 0 0.00 0.00 0.52 0.78 0.02 0.70 0.00 0.00 0.00 0.07 0.309 3033 
54 0 83 1490 1289 712 196 0.01 0.01 0.00 0.00 0.72 2.22 0.06 0.08 0.00 1.29 -0.562 5642 
32 0 95 1116 545 402 196 0.01 0.02 0.00 0.01 0.98 1.75 0.08 0.15 0.00 1.19 -0.515 4458 
0 2 153 690 361 203 189 0.00 0.00 0.07 0.05 1.04 1.36 0.09 0.24 0.00 1.02 -0.425 3855 
61 0 84 1498 455 252 196 0.01 0.02 0.00 0.00 1.19 1.59 0.06 0.14 0.00 1.21 -0.528 4610 
0 44 187 590 341 259 42 0.00 0.00 0.52 0.08 0.91 1.28 0.12 0.00 0.00 0.96 -0.384 3725 
0 58 230 325 291 15 0 0.00 0.00 0.52 0.23 0.74 1.11 0.01 0.00 0.00 0.66 -0.190 3381 
