PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
38681;7207;8087;15;69;10132;6.401183736585129;0.12104935200954436;19.110414981846976;0.14838062738378668;296;50.52;8.08;36.42;41.66;0.6393127711457833;0.07;0.31;45.66;32.48;165.45;6.27;31.87;159.10;1.00;98.40;0.24;;;-12468;-8461;49287;31750.0;99210;-43.408;5.243771988000001;171786.0;0.7907333029688212;0.13108414411206407;0.07981414750280014;0.32681083928635674;57.076527228356525;32.48;165.45;6.27;0.9478527410403352;0.07214265958183744;0.15382991053398662;4.976213778477917;1.1118829575786802;0.08711443041270789;0.024656715155688718;0.08576247665701632;4.9652674418848814;1.111882957578696;0.08711443041270987;39425;69675;
34402;77;7899;61;38;18102;7.782026898039815;13.305204214504279;5.985770007835791;0.08887073890024003;177;44.93;0.09;35.45;13.05;0.3829084656255742;0.28;0.17;81.58;0.35;161.6;7.62;24.83;168.40;104.40;93.92;0.15;;;-14070;5278;34111;27831.0;82173;-21.499;31.682019091999997;149393.0;0.9117633180767235;0.2760952718716333;0.3243890448614916;0.18036411656432647;101.9692314867419;0.35;161.6;7.62;104.18374056083286;0.24755790430294822;0.03782191726192976;6.845871472331269;0.01273757848983113;0.6380380256538375;0.0954988197742602;0.03030622596654726;6.845871472331453;0.01273757848983154;0.6380380256538632;30468;67431;
37641;1723;8393;19;189;14100;5.562415124673015;16.787715494216492;2.485376730201677;0.10675273682213993;213;49.17;1.72;37.79;5.42;0.4599548418718721;0.09;0.85;63.54;7.77;171.72;5.35;22.31;176.93;131.53;84.70;0.67;;;-15153;7945;30420;27152.0;78514;-17.964;38.62629504400001;144031.0;0.9641889276035619;0.3041577398309466;0.10314931366260063;0.8976843841349909;79.42750173996153;7.77;171.72;5.35;131.4528486343634;0.04898259762915011;0.3424454739713576;3.8821746899210883;1.1448406845090953;0.14397167864232308;0.025983617223544097;0.21203712352152718;3.8821746899210914;1.0819081328679165;0.1439716786423247;29363;68818;
37662;983;7867;19;73;17348;5.891735237202354;1.3662893638153772;18.01035810999708;0.0031974874278474412;7;49.19;0.98;35.40;39.26;0.013776694331623485;0.09;0.33;78.18;4.43;160.95;5.73;33.31;156.36;10.76;97.52;0.26;;;-12059;-6619;47445;31194.0;96619;-39.370;8.072471444000001;168639.0;0.7966315258935697;0.1603291128682407;0.10315123375871733;0.3439896216741885;97.72167000975475;4.43;160.95;5.73;10.698455605483549;0.09668161926346415;0.12917370389112295;4.763150559044537;0.6812036166784008;0.22152573832482922;0.0319604425290513;0.08109083926065248;4.763150559044744;0.634608431166725;0.22152573832483194;39227;69022;
38039;108;8003;20;10;17664;6.919212987848604;5.6001235801121965;13.552099823184092;0.2276215579440196;453;49.69;0.11;36.06;29.54;0.9807302445576028;0.09;0.05;79.6;0.49;163.74;6.85;30.35;160.78;43.92;91.76;0.04;;;-12783;-2606;42797;30178.0;91829;-33.118;16.40170034;162198.0;0.8345194952626294;0.2047250739768073;0.10829969979996587;0.04897583179521711;99.50141157193188;0.49;163.74;6.85;43.85064766935253;0.08968658668324984;0.019059990063285803;6.706407950699337;0.0686434968597919;0.0354149635429387;0.03148731090452573;0.012114994880430666;6.706407950699458;0.06583537563003788;0.03541496354293955;36244;69009;
36347;765;7745;21;4;18187;9.436651294533277;2.822845689906967;16.489676174695607;0.0673230966377334;134;47.47;0.88;34.73;35.95;0.2900682941733382;0.09;0.02;81.96;3.45;158.45;9.37;32.04;156.90;22.17;96.97;0.01;;;-12236;-5122;45822;30718.0;95144;-36.999;10.865062896000001;166562.0;0.8070565118961173;0.17419278162904936;0.10929033817058578;0.018191958499681256;102.4495995762705;3.45;158.45;9.37;22.103728605678526;0.09333915153006166;0.007449101904206048;8.52345608503489;0.03185169186662712;0.7805552641974925;0.0317410805952634;0.004785616964120162;8.523456085034931;0.031851691866627715;0.7805552641974987;38103;68462;
34928;1965;7759;57;7;16883;8.949678037955275;6.7468532863119846;12.487733601751646;0.14525807317667658;289;45.62;1.93;34.85;27.22;0.6258589340890287;0.26;0.03;76.08;8.85;158.75;8.79;28.47;160.68;53.13;97.88;0.02;;;-12956;-1160;41541;29651.0;90421;-31.278;18.560953828;160453.0;0.8388026607538803;0.20955290293176065;0.30146236760305917;0.03132128917841206;95.1013787802394;8.85;158.75;8.79;52.82988528780873;0.0026090691432850725;0.01340082637600447;6.873908452908443;1.506934188432455;0.5528255010950869;0.0026090691432851167;0.007885815843083259;6.873908452908446;1.3493964509378182;0.5528255010950935;35022;67668;
33541;916;7899;21;78;17258;7.18151938594654;13.130207911223065;6.047430343851859;0.20220670616538564;403;43.81;0.91;35.45;13.18;0.8712278141841806;0.1;0.35;77.77;4.13;161.62;7.00;24.81;167.28;102.89;95.54;0.28;;;-13962;5231;34378;27936.0;82386;-21.498;31.301926044000002;149931.0;0.9058285390927097;0.2724117170795532;0.1135437111924477;0.36901520458399734;97.21796164031454;4.13;161.62;7.00;102.81346700724997;0.10690148835045431;0.14541193575079764;5.617265001468376;0.6581729777138229;0.6537679826630887;0.03547824784993896;0.08869800318216445;5.617265001468329;0.6054873170450857;0.6537679826631071;30478;66941;
36143;2301;7894;140;72;15785;5.414741254010041;18.71170370645263;0.5382409690820342;0.12990028570564174;259;47.21;2.30;35.53;1.17;0.5596883709913281;0.63;0.33;71.13;10.37;161.51;4.99;20.31;179.94;147.01;98.53;0.34;;;-15643;10295;28318;26315.0;75831;-15.626;42.371990244;140759.0;1.0005996102533354;0.31532015184788226;0.7411242525255001;0.3435056252654489;88.91773635327192;10.37;161.51;4.99;146.51825353263604;0.5696531071282229;0.004932307477881589;3.1531381127775577;1.4924285800743797;0.19458914655199902;0.2159484708738561;0.004932307477881651;3.153138112777535;1.4204411557909096;0.19458914655200743;28857;68202;
39225;6179;8257;9;144;10317;6.145109788766163;5.468413831628771;13.738906736176498;0.17252439343503984;344;51.23;6.68;37.19;29.95;0.7433386015542126;0.04;0.65;46.49;27.85;168.94;6.00;27.97;165.30;42.85;92.64;0.51;;;-13459;-3375;43314;30337.0;92809;-35.679;15.844627627999998;163085.0;0.8382270026456174;0.18713795394829563;0.04991259206809857;0.6836179931364499;58.114229090383354;27.85;168.94;6.00;42.81932082580276;0.04823858051375918;0.28384478582265077;3.816535524811796;1.9132128443917142;0.0832780532262425;0.014513042643816351;0.16892651819778914;3.8165355248118638;1.9132128443917307;0.08327805322624585;35667;69748;
