CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
26 0 102 1250 524 221 196 0.01 0.01 0.00 0.01 1.05 1.72 0.05 0.15 0.00 1.19 -0.516 4452 
72 0 83 1491 1042 500 196 0.01 0.01 0.00 0.00 0.79 2.12 0.06 0.09 0.00 1.27 -0.556 5317 
3 43 192 637 370 82 45 0.00 0.00 0.52 0.07 0.91 1.36 0.04 0.00 0.00 0.96 -0.387 3722 
4 43 180 637 417 119 45 0.00 0.00 0.52 0.06 0.83 1.47 0.05 0.00 0.00 0.99 -0.405 3788 
0 56 194 571 370 57 1 0.00 0.00 0.52 0.09 0.87 1.37 0.03 0.00 0.00 0.93 -0.365 3659 
0 43 252 3 228 29 57 0.00 0.00 0.52 0.68 0.01 0.87 0.02 0.00 0.00 0.15 0.232 3087 
0 47 223 479 310 63 31 0.00 0.00 0.52 0.13 0.91 1.18 0.04 0.00 0.00 0.83 -0.305 3532 
39 0 93 1074 499 304 196 0.01 0.02 0.00 0.01 1.02 1.68 0.08 0.16 0.00 1.17 -0.506 4349 
0 44 237 132 206 31 49 0.00 0.00 0.52 0.52 0.33 0.79 0.02 0.00 0.00 0.23 0.126 3158 
70 0 84 1496 561 447 196 0.01 0.02 0.00 0.00 1.06 1.76 0.07 0.12 0.00 1.24 -0.539 4801 
65 0 84 1492 478 313 196 0.01 0.02 0.00 0.00 1.16 1.64 0.06 0.14 0.00 1.22 -0.531 4656 
38 0 113 744 367 153 200 0.02 0.03 0.00 0.02 1.08 1.38 0.07 0.25 0.00 1.04 -0.444 3932 
3 46 180 749 350 214 35 0.00 0.00 0.52 0.06 0.99 1.30 0.09 0.00 0.00 1.01 -0.417 3836 
0 47 230 268 307 62 31 0.00 0.00 0.52 0.24 0.62 1.17 0.04 0.00 0.00 0.65 -0.178 3374 
39 0 84 1492 680 491 196 0.01 0.01 0.00 0.01 0.97 1.89 0.07 0.11 0.00 1.25 -0.544 4905 
0 47 218 479 370 63 31 0.00 0.00 0.52 0.11 0.80 1.37 0.03 0.00 0.00 0.88 -0.338 3595 
0 43 226 470 319 85 40 0.00 0.00 0.52 0.12 0.89 1.21 0.05 0.00 0.00 0.84 -0.312 3543 
9 2 142 745 333 234 193 0.01 0.01 0.05 0.04 1.13 1.26 0.10 0.25 0.00 1.03 -0.433 3892 
30 0 97 1494 588 223 196 0.01 0.01 0.00 0.01 1.05 1.79 0.04 0.13 0.00 1.23 -0.534 4696 
0 47 184 723 361 154 31 0.00 0.00 0.52 0.06 0.96 1.34 0.07 0.00 0.00 1.00 -0.409 3800 
