PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
12050;1079;2381;4;123;11595;2524;1914;22.0;12.91;4.79;7.40;0.04;0.01;0.25;24.02;3.35;23.67;22.80;6.84;24.73;32.02;9.86;2069.0;1896.0;1121.0;1225.0;7181.0;759.0;5485.0;37;2160.0;14.008;15608.0;0.57;0.44;0.009462700012511658;0.2819845583353704;32.02239014998197;3.35;23.67;10.46;14.26;
8306;2981;1657;610;242;11492;2372;1798;290.0;8.90;13.23;5.15;0.48;1.26;0.5;23.8;9.26;16.47;14.97;5.25;24.81;31.74;27.02;2172.0;1782.0;1111.0;806.0;8215.0;900.0;5292.0;487;2555.0;15.380;17260.0;0.41;0.51;1.5798896922922983;0.5575400631543902;31.738611570732846;9.26;16.47;9.83;13.4;
14581;1636;2216;79;491;11109;182;138;4140.0;15.62;7.26;6.88;6.89;0.16;1.02;23.01;5.08;22.03;26.28;9.17;1.98;30.68;15.65;179.0;136.0;1074.0;1268.0;4024.0;871.0;6157.0;6959;9599.0;9.619;24907.0;0.61;0.34;0.20373053625599494;1.1293589752735602;30.680251733321033;5.08;22.03;.75;1.03;
11724;1186;2270;6;639;11448;73;55;4332.0;12.56;5.27;7.05;7.21;0.01;1.32;23.71;3.69;22.56;29.17;6.52;0.73;31.62;12.00;62.0;54.0;1106.0;1594.0;3870.0;769.0;6209.0;7282;9361.0;10.458;24662.0;0.61;0.32;0.01661077209052868;1.4711906384209845;31.616598233102494;3.69;22.56;.3;.41;
8919;3722;1808;25;79;10401;1253;949;2258.0;9.55;16.52;5.62;3.76;0.05;0.16;21.54;11.56;17.98;15.32;5.80;12.32;28.73;33.22;1035.0;941.0;1005.0;775.0;6634.0;974.0;5690.0;3796;6200.0;13.301;21819.0;0.39;0.47;0.06488263924621893;0.18247864811774642;28.725735976475107;11.56;17.98;5.19;7.07;
13676;888;2688;185;33;10318;137;104;4219.0;14.65;3.94;8.35;7.02;0.38;0.07;21.37;2.76;26.72;30.98;7.98;1.82;28.49;7.96;181.0;103.0;997.0;1630.0;3617.0;758.0;6327.0;7092;9397.0;10.037;24436.0;0.65;0.31;0.47784765100550003;0.0751739331324453;28.494620603440566;2.76;26.72;.57;.77;
8557;2863;1794;209;202;11450;986;747;2727.0;9.17;12.71;5.57;4.54;0.43;0.42;23.72;8.89;17.84;19.24;4.78;10.20;31.62;25.88;886.0;742.0;1107.0;1076.0;6058.0;887.0;5769.0;4584;6678.0;12.948;22195.0;0.44;0.42;0.5412224267270601;0.46563083648752385;31.621987886244924;8.89;17.84;4.09;5.57;
7981;852;2654;36;156;10560;510;387;3563.0;8.55;3.78;8.24;5.93;0.07;0.32;21.87;2.65;26.38;31.51;3.45;5.08;29.16;7.92;431.0;383.0;1020.0;1915.0;4452.0;642.0;6200.0;5989;7430.0;12.634;22387.0;0.6;0.34;0.09260315125613784;0.3582474399542622;29.16374646435344;2.65;26.38;2.11;2.88;
11027;787;2406;75;296;11667;2393;1814;253.0;11.81;3.49;7.48;0.42;0.16;0.61;24.17;2.45;23.92;24.67;5.86;23.63;32.22;7.67;1989.0;1798.0;1127.0;1394.0;6990.0;710.0;5532.0;425;2300.0;14.259;15792.0;0.59;0.43;0.19493944035728392;0.6806599511871273;32.22137584845556;2.45;23.92;9.92;13.52;
8950;1472;2174;113;512;11500;575;436;3449.0;9.59;6.53;6.75;5.74;0.23;1.06;23.82;4.57;21.61;26.98;4.39;5.92;31.76;14.25;514.0;431.0;1111.0;1581.0;4884.0;745.0;6021.0;5798;7543.0;12.257;22738.0;0.55;0.36;0.2914205039199167;1.178481085390839;31.759201959048738;4.57;21.61;2.38;3.25;
6914;1246;2642;106;220;9889;2186;1657;617.0;7.41;5.53;8.21;1.03;0.22;0.46;20.48;3.87;26.27;25.36;2.84;21.68;27.31;11.57;1831.0;1643.0;956.0;1594.0;7039.0;659.0;5676.0;1037;2421.0;15.823;16429.0;0.53;0.45;0.27348585835703476;0.5059982976149345;27.310402627068424;3.87;26.27;9.06;12.35;
7011;1094;2324;92;393;11485;2465;1869;126.0;7.51;4.85;7.22;0.21;0.19;0.81;23.79;3.4;23.11;24.26;2.97;24.39;31.72;10.61;2054.0;1853.0;1110.0;1523.0;7475.0;663.0;5484.0;212;1564.0;15.912;15316.0;0.53;0.45;0.23770672461855924;0.9039736285900977;31.719722568809843;3.4;23.11;10.22;13.93;
10879;2989;1673;76;18;12160;962;729;2769.0;11.65;13.26;5.20;4.61;0.16;0.04;25.19;9.29;16.63;17.97;6.87;9.62;33.58;26.57;816.0;723.0;1175.0;882.0;5903.0;951.0;5734.0;4655;7151.0;11.779;22585.0;0.46;0.41;0.19618719297774165;0.0409237468262157;33.58191549718219;9.29;16.63;3.99;5.43;
13306;188;2544;82;511;11681;318;241;3901.0;14.25;0.84;7.90;6.49;0.17;1.06;24.2;0.58;25.29;33.02;7.50;3.33;32.26;2.85;292.0;239.0;1129.0;1789.0;3716.0;693.0;6223.0;6558;8592.0;10.263;23234.0;0.69;0.3;0.21208701055570803;1.1765665024496617;32.26078492587836;0.58;25.29;1.32;1.8;
8465;3870;1433;15;416;11654;283;215;3962.0;9.07;17.18;4.45;6.59;0.03;0.86;24.14;12.02;14.25;16.57;5.55;2.81;32.18;35.31;237.0;212.0;1126.0;846.0;5480.0;998.0;5868.0;6660;9026.0;11.746;25445.0;0.4;0.42;0.037838026605860324;0.9566084072076226;32.18473078856878;12.02;14.25;1.17;1.6;
6522;3463;1836;34;79;10646;224;169;4067.0;6.99;15.37;5.71;6.77;0.07;0.16;22.05;10.76;18.26;19.80;3.46;2.28;29.40;30.92;196.0;169.0;1029.0;1165.0;5238.0;900.0;6020.0;6837;8807.0;12.546;25146.0;0.41;0.41;0.08835816517813928;0.1818893613512377;29.40033487723741;10.76;18.26;.93;1.26;
9379;5135;1922;75;144;7622;25;19;4416.0;10.05;22.79;5.97;7.35;0.15;0.3;15.79;15.95;19.1;14.11;7.41;0.43;21.05;45.91;48.0;18.0;737.0;577.0;5350.0;1109.0;6109.0;7423;10301.0;11.797;27408.0;0.37;0.46;0.19357396938212165;0.3325227902901155;21.05053754304341;15.95;19.1;.1;.14;
13415;3485;1723;21;49;11201;1275;967;2218.0;14.37;15.47;5.35;3.69;0.04;0.1;23.2;10.83;17.13;15.03;9.61;12.55;30.93;31.05;1054.0;957.0;1082.0;549.0;6334.0;1046.0;5655.0;3728;6746.0;11.501;22061.0;0.46;0.45;0.05534694029848672;0.11171923359976803;30.933805107537367;10.83;17.13;5.28;7.21;
11724;2008;2005;6;2809;9317;571;432;3457.0;12.56;8.91;6.23;5.75;0.01;5.82;19.3;6.24;19.93;23.62;6.90;5.61;25.73;24.29;469.0;430.0;900.0;1232.0;5142.0;859.0;5966.0;5811;8010.0;12.202;23531.0;0.54;0.41;0.01664126489459244;6.464159184645735;25.73040937237742;6.24;19.93;2.37;3.22;
14612;4851;1132;32;89;11939;14;10;4436.0;15.65;21.53;3.52;7.38;0.07;0.18;24.73;15.07;11.25;12.66;12.72;0.21;32.97;43.26;22.0;11.0;1154.0;188.0;5117.0;1228.0;5852.0;7457;11044.0;8.863;27801.0;0.46;0.43;0.08181289271673768;0.20428887307067423;32.971530596810226;15.07;11.25;.06;.07;
6777;2594;1824;139;88;11892;2306;1748;406.0;7.26;11.52;5.67;0.68;0.29;0.18;24.63;8.06;18.14;17.43;3.65;22.94;32.84;23.23;1940.0;1733.0;1149.0;1049.0;7891.0;824.0;5368.0;682;2442.0;15.521;16942.0;0.42;0.49;0.36005281404733447;0.2027854299276196;32.84236368727671;8.06;18.14;9.56;13.02;
