PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;
13828;285;2511;42;691;11555;2245;1702;513.0;14.81;1.26;7.80;0.85;0.09;1.43;23.93;0.89;24.96;26.39;7.60;22.09;31.91;4.12;1855.0;1686.0;1117.0;1414.0;6447.0;714.0;5612.0;862;2996.0;13.124;16296.0;0.75;0.4;
14211;2782;1629;42;725;12008;2327;1764;369.0;15.22;12.35;5.06;0.61;0.09;1.5;24.87;8.64;16.19;14.27;9.95;22.89;33.16;26.37;1921.0;1748.0;1160.0;510.0;7628.0;1001.0;5296.0;620;3524.0;12.880;17828.0;0.54;0.49;
10429;1128;2306;45;1121;10838;569;432;3459.0;11.17;5.01;7.17;5.75;0.09;2.32;22.45;3.51;22.93;26.20;3.24;5.70;29.93;12.60;484.0;428.0;1047.0;1641.0;4705.0;735.0;6067.0;5815;7654.0;11.989;22717.0;0.59;0.34;
7836;1107;2094;76;1133;11844;580;440;3440.0;8.39;4.91;6.51;5.72;0.16;2.35;24.53;3.44;20.82;26.92;1.77;5.88;32.71;12.43;504.0;435.0;1145.0;1760.0;4935.0;693.0;5994.0;5783;7228.0;12.756;22386.0;0.58;0.35;
7610;1041;2293;56;255;11889;618;468;3374.0;8.15;4.62;7.12;5.61;0.12;0.53;24.63;3.24;22.8;27.82;1.64;6.19;32.83;9.83;527.0;464.0;1149.0;1824.0;4831.0;672.0;6047.0;5672;7109.0;12.667;22127.0;0.59;0.34;
5937;1033;2522;12;977;10124;2529;1917;14.0;6.36;4.58;7.84;0.02;0.02;2.02;20.97;3.21;25.07;25.38;2.24;24.79;27.96;11.42;2075.0;1900.0;978.0;1633.0;7590.0;625.0;5529.0;24;1168.0;16.820;14926.0;0.63;0.47;
13244;323;2568;2;112;11842;49;37;4374.0;14.19;1.44;7.98;7.28;0.0;0.23;24.53;1.0;25.53;30.24;4.39;0.49;32.70;3.13;41.0;36.0;1144.0;1839.0;3351.0;703.0;6316.0;7353;9442.0;9.687;24308.0;0.67;0.26;
6689;2568;1628;21;846;12234;1333;1011;2116.0;7.17;11.40;5.06;3.52;0.04;1.75;25.34;7.98;16.18;18.77;2.54;13.11;33.79;24.74;1100.0;1001.0;1182.0;1198.0;6631.0;830.0;5606.0;3557;5266.0;14.092;20508.0;0.45;0.43;
14839;218;2536;71;293;11905;384;291;3785.0;15.90;0.97;7.88;6.30;0.15;0.61;24.66;0.68;25.21;29.46;5.93;3.94;32.88;2.61;341.0;288.0;1150.0;1706.0;3732.0;727.0;6201.0;6363;8649.0;9.687;23200.0;0.7;0.28;
7474;3957;1297;90;706;11811;829;628;3003.0;8.01;17.56;4.03;5.00;0.19;1.46;24.46;12.29;12.89;14.09;4.41;8.35;32.62;36.75;713.0;624.0;1141.0;790.0;6449.0;993.0;5654.0;5048;7273.0;13.033;23456.0;0.38;0.45;
