PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;
9640;6;2641;0;1;12080;2537;1923;0.0;10.33;0.03;8.21;0.00;0.0;0.0;25.02;0.02;26.26;28.63;4.55;24.84;33.36;0.05;2078.0;1905.0;1167.0;1718.0;6894.0;597.0;5567.0;0;1463.0;14.837;14521.0;0.63;0.41;0.0;0.0013664709363441956;33.36233834365719;10.513819032258064;14.328251868131867;
5565;0;2983;0;4;10444;2537;1923;0.0;5.96;0.00;9.27;0.00;0.0;0.01;21.63;0.0;29.66;31.34;1.82;24.84;28.84;0.01;2078.0;1905.0;1009.0;2031.0;7046.0;497.0;5678.0;0;842.0;16.710;14063.0;0.62;0.43;2.100183683497102E-4;0.008682055491627287;28.84246677532173;10.513819032258064;14.328251868131867;
5565;0;3138;0;1;9705;2537;1923;0.0;5.96;0.00;9.75;0.00;0.0;0.0;20.1;0.0;31.2;31.81;1.81;24.84;26.80;0.00;2078.0;1905.0;938.0;2061.0;7004.0;489.0;5729.0;0;840.0;16.874;14062.0;0.62;0.43;0.0;0.002172738230810709;26.802466168826033;10.513819032258064;14.328251868131867;
5596;0;2611;0;1;12231;2537;1923;0.0;5.99;0.00;8.11;0.00;0.0;0.0;25.33;0.0;25.96;30.20;1.86;24.84;33.78;0.00;2078.0;1905.0;1182.0;1957.0;7144.0;517.0;5556.0;0;853.0;16.299;14070.0;0.61;0.42;0.0;0.001964368256357399;33.778679853199826;10.513819032258064;14.328251868131867;
5568;0;3454;0;2;8184;2537;1923;0.0;5.96;0.00;10.73;0.00;0.0;0.0;16.95;0.0;34.34;32.77;1.79;24.84;22.60;0.01;2078.0;1905.0;791.0;2123.0;6919.0;473.0;5833.0;0;835.0;17.213;14060.0;0.63;0.44;0.0;0.005119268937337728;22.60144143098511;10.513819032258064;14.328251868131867;
5565;1;3409;0;1;8402;2537;1923;0.0;5.96;0.00;10.59;0.00;0.0;0.0;17.4;0.0;33.89;32.63;1.79;24.84;23.20;0.01;2078.0;1905.0;812.0;2114.0;6931.0;475.0;5818.0;0;836.0;17.166;14060.0;0.63;0.44;1.3595845183838714E-4;0.002975333106909145;23.203506263048173;10.513819032258064;14.328251868131867;
5640;1;2611;0;0;12232;2537;1923;0.0;6.04;0.00;8.11;0.00;0.0;0.0;25.34;0.0;25.96;30.18;1.89;24.84;33.78;0.01;2078.0;1905.0;1182.0;1954.0;7141.0;518.0;5556.0;0;860.0;16.282;14075.0;0.61;0.42;0.0;0.0;33.78061752718334;10.513819032258064;14.328251868131867;
5632;0;2623;0;0;12176;2537;1923;0.0;6.03;0.00;8.15;0.00;0.0;0.0;25.22;0.0;26.08;30.22;1.88;24.84;33.63;0.00;2078.0;1905.0;1177.0;1957.0;7139.0;517.0;5560.0;0;859.0;16.297;14075.0;0.61;0.42;0.0;0.0;33.62806046192774;10.513819032258064;14.328251868131867;
5568;0;3454;0;2;8184;2537;1923;0.0;5.96;0.00;10.73;0.00;0.0;0.0;16.95;0.0;34.34;32.77;1.79;24.84;22.60;0.01;2078.0;1905.0;791.0;2123.0;6919.0;473.0;5833.0;0;835.0;17.213;14060.0;0.63;0.44;0.0;0.005119268937337728;22.60144143098511;10.513819032258064;14.328251868131867;
5568;1;3162;0;8;9579;2537;1923;0.0;5.96;0.00;9.83;0.00;0.0;0.02;19.84;0.0;31.44;31.88;1.81;24.84;26.46;0.02;2078.0;1905.0;926.0;2066.0;6998.0;488.0;5736.0;0;840.0;16.903;14062.0;0.62;0.43;1.9462258438857584E-4;0.01774054338694425;26.45521353109417;10.513819032258064;14.328251868131867;
5632;2;2611;0;3;12229;2537;1923;0.0;6.03;0.01;8.11;0.00;0.0;0.01;25.33;0.0;25.96;30.18;1.88;24.84;33.77;0.02;2078.0;1905.0;1182.0;1954.0;7143.0;518.0;5557.0;0;859.0;16.286;14077.0;0.61;0.42;0.0;0.0059392685650140695;33.77297843993903;10.513819032258064;14.328251868131867;
6466;9;2616;0;6;12193;2537;1923;0.0;6.93;0.04;8.13;0.00;0.0;0.01;25.25;0.03;26.0;29.76;2.38;24.84;33.67;0.09;2078.0;1905.0;1178.0;1903.0;7094.0;535.0;5558.0;0;986.0;15.987;14173.0;0.61;0.42;0.0;0.01479488786502919;33.672909453644145;10.513819032258064;14.328251868131867;
