PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
13263;4046;1725;8;80;10329;2263;1715;482.0;14.21;17.96;5.36;0.80;0.02;0.17;21.39;12.57;17.15;10.91;10.69;22.18;28.53;36.10;1856.0;1701.0;998.0;246.0;7927.0;1095.0;5350.0;810;3961.0;13.264;18828.0;0.43;0.53;0.021490028976310492;0.183393326004126;28.525970113273328;12.57;17.15;9.38;12.78;
10736;1450;2076;206;263;12158;1008;764;2688.0;11.50;6.43;6.45;4.47;0.43;0.55;25.18;4.5;20.64;23.28;4.08;10.40;33.58;13.48;902.0;758.0;1175.0;1411.0;5426.0;784.0;5853.0;4519;6536.0;12.108;21362.0;0.5;0.36;0.5336130863973256;0.60626766872728;33.578545864269515;4.5;20.64;4.18;5.69;
8312;2673;1867;211;380;11204;75;57;4328.0;8.90;11.87;5.80;7.20;0.44;0.79;23.21;8.31;18.56;20.85;2.40;1.28;30.94;24.61;140.0;56.0;1083.0;1341.0;4757.0;860.0;6075.0;7275;9268.0;11.724;25409.0;0.41;0.36;0.5456447362288395;0.8738203165556068;30.941541500460172;8.31;18.56;.31;.42;
9571;367;2567;191;145;11558;510;386;3564.0;10.25;1.63;7.98;5.93;0.4;0.3;23.94;1.14;25.52;30.69;2.45;5.48;31.92;3.59;489.0;383.0;1117.0;1966.0;4285.0;633.0;6171.0;5991;7529.0;11.919;22282.0;0.57;0.3;0.4946824212525484;0.3343469548149202;31.920666649495;1.14;25.52;2.11;2.88;
13877;1822;2065;56;33;12034;497;377;3586.0;14.87;8.09;6.41;5.97;0.12;0.07;24.93;5.66;20.53;21.68;6.03;5.02;33.23;16.25;429.0;373.0;1163.0;1206.0;4590.0;882.0;6011.0;6028;8642.0;10.033;23811.0;0.49;0.33;0.14505194718516476;0.07684550045196542;33.23457138393538;5.66;20.53;2.06;2.81;
12050;1079;2381;4;123;11595;2524;1914;22.0;12.91;4.79;7.40;0.04;0.01;0.25;24.02;3.35;23.67;22.78;6.83;24.73;32.02;9.86;2069.0;1896.0;1121.0;1225.0;7181.0;759.0;5484.0;37;2160.0;14.008;15607.0;0.57;0.44;0.009462700012511658;0.2819845583353704;32.02239014998197;3.35;23.67;10.46;14.26;
8306;2981;1657;610;242;11492;2372;1798;290.0;8.90;13.23;5.15;0.48;1.26;0.5;23.8;9.26;16.47;14.84;5.12;24.81;31.74;27.02;2172.0;1782.0;1111.0;808.0;8218.0;900.0;5292.0;487;2555.0;15.380;17263.0;0.4;0.51;1.5798896922922983;0.5575400631543902;31.738611570732846;9.26;16.47;9.83;13.4;
14581;1636;2216;79;491;11109;182;138;4140.0;15.62;7.26;6.88;6.89;0.16;1.02;23.01;5.08;22.03;23.15;6.04;1.98;30.68;15.65;179.0;136.0;1074.0;1301.0;4057.0;871.0;6157.0;6959;9599.0;9.619;24940.0;0.5;0.31;0.20373053625599494;1.1293589752735602;30.680251733321033;5.08;22.03;.75;1.03;
11724;1186;2270;6;639;11448;73;55;4332.0;12.56;5.27;7.05;7.21;0.01;1.32;23.71;3.69;22.56;26.29;3.64;0.73;31.62;12.00;62.0;54.0;1106.0;1628.0;3904.0;769.0;6209.0;7282;9361.0;10.458;24696.0;0.51;0.3;0.01661077209052868;1.4711906384209845;31.616598233102494;3.69;22.56;.3;.41;
8919;3722;1808;25;79;10401;1253;949;2258.0;9.55;16.52;5.62;3.76;0.05;0.16;21.54;11.56;17.98;14.39;4.87;12.32;28.73;33.22;1035.0;941.0;1005.0;793.0;6652.0;974.0;5690.0;3796;6200.0;13.301;21837.0;0.36;0.46;0.06488263924621893;0.18247864811774642;28.725735976475107;11.56;17.98;5.19;7.07;
