PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
66155;1761;8559;859;168;12494;40.19765781076865;8.796433238988456;9.548828657877996;1.0345830643738565;2058;86.41;1.42;37.88;20.82;4.457604591161198;3.87;0.76;56.3;7.94;175.1;22.53;26.46;197.14;73.04;58.23;0.54;;;-16727;-3452;40491;29888.0;52842;-39.090;119769.0;1.0066177463647414;0.23667740538190563;4.553592362270845;0.7974638699231212;70.37752275160516;7.94;175.1;22.53;68.87871119125131;0.33614239825617864;0.5288627720597036;31.3768302020273;4.838611196393876;3.1172112420315914;0.3361423982561807;0.24215306132427294;16.42493774500828;2.4054022791913416;3.117211242031664;
47938;5518;7854;79;983;11899;58.8530200061853;7.352038583873051E-5;19.155958860457968;0.22381258039649984;446;62.62;4.16;35.34;41.76;0.9643188838963592;0.35;4.43;53.62;24.87;160.69;25.72;31.86;167.80;0.35;71.10;4.28;;;-13322;-10191;55845;31681.0;70632;-45.751;147967.0;0.8300835654596102;0.14263856522663476;0.4169701295070243;4.664689839133887;67.02862620905933;24.87;160.69;25.72;5.756866772330116E-4;0.06341783872568249;0.36524427099442813;32.992436003535566;25.173280707053035;0.2586411858765908;0.0553588827084676;0.36524427099443707;16.30804894964438;8.72858922572536;0.2586411858765958;
46648;3430;9252;147;768;7786;70.2546961948289;12.623609347343802;6.285640311543946;0.4705953023525603;936;60.93;2.95;34.50;13.70;2.0276069197162414;0.66;3.46;35.09;15.46;189.3;48.32;24.62;185.12;99.36;47.66;3.01;;;-15729;1261;35625;28084.0;50409;-28.075;115379.0;0.9910693190946464;0.26121326951776586;0.7817787475188716;3.643681550528058;43.85693952490244;15.46;189.3;48.32;98.84664827250617;0.6273786071657435;0.7287108236276275;22.37443711063888;6.756629111602629;39.76754054179402;0.22866073351263733;0.5977098943679635;10.825539264736678;4.01949715837013;32.65313383420339;
45752;12487;8163;731;198;3660;17.04659956549669;2.856943142664533;15.151978357924259;1.370923460651517;2727;59.76;13.04;36.52;33.03;5.906760822563126;3.3;0.89;16.5;56.27;167.02;12.44;27.41;170.25;25.11;91.59;0.94;;;-13998;-6588;47289;31566.0;56193;-42.209;128460.0;0.8483990042063696;0.15037840703814648;3.8766241223289892;0.9383948125488379;20.619407760319863;56.27;167.02;12.44;22.37072189000609;1.8583638046033275;4.001107904957064E-4;8.316885723301896;5.63953603243372;1.2314138943672548;0.9671081888236275;4.0011079049571193E-4;4.598677713609789;5.639536032433842;1.231413894367292;
22006;1310;9014;296;969;10641;17.938968236923145;0.5859846687952441;18.711672422908663;0.08218786953640039;164;28.74;1.12;39.60;40.79;0.3541146546845347;1.33;4.37;47.95;5.9;184.42;14.88;38.98;135.55;5.92;56.01;4.54;;;-9464;-6067;47903;32002.0;55998;-30.685;129836.0;0.7158149454515627;0.18336830138349455;1.5674191299689004;4.595968230788164;59.940999776864494;5.9;184.42;14.88;4.5884357520674;0.22841885215540716;0.056457104882585846;10.413609162015373;2.5964771863563865;4.644005931513394;0.20382526803602521;0.05645710488258649;8.430928089896492;1.5393268590140834;4.64400593151359;
22373;10296;9462;606;112;165;20.72531698580164;17.649744887707357;0.8943454554510551;0.8357546180818938;1662;29.22;11.87;38.73;1.95;3.6009323474676473;2.73;0.51;0.74;46.4;193.59;19.31;22.57;165.68;140.38;70.47;0.39;;;-14025;9826;29853;27376.0;41990;-11.708;109045.0;0.9222968007446966;0.2930139009429216;3.2134768542655756;0.5336187349477951;0.9274517040501875;46.4;193.59;19.31;138.20279739421494;1.9736573477115522;0.24920348530222608;0.43351914011287207;0.32077538636398;17.74816162631101;0.8811881530362179;0.14006158777317354;0.22055114613034268;0.32077538636398834;17.74816162631156;
2427;10464;7838;771;90;7229;28.045098689372413;0.06594168095565839;19.06965815389674;0.24424512638790877;486;3.17;11.58;35.27;41.57;1.0523545515549437;3.47;0.41;32.58;47.15;160.36;13.38;37.75;121.80;4.40;95.37;0.43;;;-8237;-3825;48663;31663.0;56470;-27.628;132971.0;0.6640446164731344;0.15493856044316578;4.085319001217323;0.42719807653911396;40.72279454735894;47.15;160.36;13.38;0.5163431443870918;0.17058910224681162;0.0011008711763012208;25.438194668331477;2.2005015031248227;0.23471254449300102;0.1705891022468177;0.001100871176301236;10.77105363733942;2.200501503124889;0.23471254449300263;
3099;7996;8410;251;801;6907;22.02805522618934;7.352038583873051E-5;19.33079590220159;0.048975538652880894;98;4.05;9.05;37.78;42.14;0.21101600583980262;1.13;3.61;31.13;36.03;172.07;11.64;39.92;120.38;0.94;80.19;3.49;;;-7885;-4366;54601;31917.0;66028;-26.688;148180.0;0.6587220053420999;0.16599563753330113;1.3320362008099034;3.8003592483681756;38.90920962943093;36.03;172.07;11.64;5.756866772330116E-4;0.6308958222584623;0.29465299138851314;19.647994741551823;0.899093992833776;0.5554176781567661;0.32992412799628273;0.29465299138850976;9.56542905444072;0.8990939928337691;0.5554176781567781;
54810;7585;7813;195;420;10469;37.47263862247775;17.251081632282265;2.068965235654704;0.05979809330334127;119;71.59;6.36;34.21;4.51;0.2576460648067762;0.88;1.89;47.18;34.18;159.84;24.77;17.55;204.00;135.81;83.34;1.92;;;-18272;5504;30816;26528.0;44318;-27.506;107166.0;1.0959683403413307;0.2890374780033935;1.034107959560514;1.9904522336126673;58.97268367129279;34.18;159.84;24.77;135.0811445052598;0.5008858559853754;0.0679240297231984;15.239943313157033;17.139536874586913;4.524348549025235;0.2590859492707451;0.06792402972319864;10.42013827620748;9.503008070617774;4.5243485490254;
37422;6180;8731;190;5446;2682;21.626139308161754;5.146566861836874;13.796217829659026;0.43706026974440715;870;48.88;5.97;38.61;30.08;1.8831178782207525;0.85;24.54;12.09;27.85;178.64;15.10;29.49;160.68;40.96;45.28;22.87;;;-12856;-3315;43737;30740.0;53374;-29.505;124536.0;0.8192745131828365;0.23282585415955684;1.0056844823457405;25.834239198832364;15.109556445579459;27.85;178.64;15.10;40.29916249824127;0.7963574538547251;2.8388562933731176;9.024904931579016;5.6108823312730145;3.355138298081881;0.2935917172176875;2.8162228603004174;3.942932791943902;4.687400253628752;3.3551382980819384;
