PV_C HP_Heat_P AnlPV_P AnlImport AnlExport AnlOilBoilerHeat AnlOilBoilerFuel AnlNgasBoilerHeat AnlNgasBoilerFuel AnlBiomassBoilerHeat AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
12407 10.544136595179205 20.87 2.38 19.67 0 0 0 0 15.505863404820792 22.151233435458277 0.0 0.0 1196.0 -821.0 426.0 840.0 2065.0 2244.3052220040104 -9.735 5575.30522200401 
10604 10.540668079311793 17.84 2.77 17.02 0 0 0 0 15.509331920688204 22.156188458126007 0.0 0.0 1196.0 -695.0 553.0 795.0 2065.0 1785.0826592159792 -8.027 5198.082659215979 
7985 10.540668079311793 13.43 3.41 13.26 0 0 0 0 15.509331920688204 22.156188458126007 0.0 0.0 1196.0 -476.0 772.0 729.0 2065.0 1118.0826592159792 -5.545 4684.082659215979 
9267 10.507911989265926 15.59 3.08 15.09 0 0 0.0020880107340737197 0.0023200119267485775 15.54 22.2 0.0 1.0 1199.0 -589.0 661.0 761.0 2065.0 1443.001073506286 -6.765 4930.001073506286 
10866 10.54538647913711 18.28 2.71 17.40 0 0 0 0 15.504613520862888 22.149447886946984 0.0 0.0 1196.0 -714.0 534.0 801.0 2065.0 1852.351210597966 -8.274 5252.351210597966 
10232 10.540476867825404 17.22 2.85 16.48 0 0 0 0 15.509523132174593 22.156461617392278 0.0 0.0 1196.0 -666.0 581.0 786.0 2065.0 1690.0826592159792 -7.674 5122.082659215979 
8520 10.533199028579547 14.33 3.27 14.02 0 0 0 0 15.51680097142045 22.166858530600646 0.0 0.0 1197.0 -524.0 724.0 743.0 2065.0 1253.8141078339922 -6.053 4785.814107833992 
8161 10.53676620449498 13.73 3.37 13.51 0 0 0 0 15.513233795505018 22.16176256500717 0.0 0.0 1197.0 -492.0 756.0 734.0 2065.0 1162.9906820280685 -5.712 4717.9906820280685 
11822 10.539688364652354 19.89 2.50 18.80 0 0 0 0 15.510311635347643 22.157588050496635 0.0 0.0 1197.0 -782.0 466.0 825.0 2065.0 2095.082659215979 -9.181 5451.082659215979 
10866 10.54538647913711 18.28 2.71 17.40 0 0 0 0 15.504613520862888 22.149447886946984 0.0 0.0 1196.0 -714.0 534.0 801.0 2065.0 1852.351210597966 -8.274 5252.351210597966 
14506 10.58475541735529 24.41 1.99 22.79 0 0 0 0 15.465244582644708 22.093206546635297 0.0 0.0 1193.0 -953.0 292.0 893.0 2067.0 2780.5707620895246 -11.717 6032.570762089525 
8747 10.546912728339892 14.72 3.22 14.34 0 0 0 0 15.503087271660105 22.147267530943008 0.0 0.0 1196.0 -544.0 703.0 748.0 2066.0 1312.351210597966 -6.266 4829.351210597966 
5493 10.492578882714579 9.24 4.12 9.79 0 0 0.01742111728542106 0.01935679698380118 15.54 22.2 0.0 5.0 1199.0 -237.0 1018.0 667.0 2064.0 481.41798214835654 -3.188 4230.417982148357 
14291 10.53676620449498 24.04 2.02 22.48 0 0 0 0 15.513233795505018 22.16176256500717 0.0 0.0 1197.0 -941.0 307.0 887.0 2065.0 2723.9906820280685 -11.521 5982.9906820280685 
