PV_Cap NGas_CHP_Cap HP_Cap Oil_boiler_Cap Ngas_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualNGasBoilerheat AnnualBiomassBoilerheat AnnualmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption NgasConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity ESD oilBoilerFuelDemand ngasBoilerFuelDemand biomassBoilerFuelDemand AnnualmCHPheat AnnualHPheat 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro   GWh GWh GWh GWh GWh 
5599 5189 2788 17 42 3542 6.00;23.03;8.66;0.04;0.09;7.34;16.12;27.72;11.32;5.47;24.86;9.78;46.16;2083.0;1904.0;342.0;548.0;8868.0;993.0;5614.0;2534.0;17.967;18009.0;0.32;0.6300405539827072;0.04468059321686456;0.0977546765740482;9.78275703588296;16.12;27.72;
14997 5038 1023 5 46 12250 16.07;22.36;3.18;0.01;0.1;25.37;15.65;10.17;7.57;16.60;24.83;33.83;44.83;2078.0;1904.0;1184.0;-320.0;8722.0;1259.0;5032.0;3703.0;12.552;18716.0;0.51;0.5909403932971152;0.012826025251524717;0.10686048408301298;33.830676879970376;15.65;10.17;
7036 2228 2057 4 45 11503 7.54;9.89;6.39;0.01;0.09;23.83;6.92;20.45;18.78;3.60;24.83;31.77;19.88;2078.0;1904.0;1112.0;1143.0;7967.0;783.0;5373.0;1701.0;15.814;15824.0;0.44;0.4858061060524906;0.009466150578136557;0.10321157154806375;31.769444493587752;6.92;20.45;
9073 3705 1407 20 221 12215 9.72;16.44;4.37;0.04;0.46;25.3;11.51;13.99;11.64;7.21;24.87;33.73;33.40;2084.0;1904.0;1180.0;482.0;8544.0;996.0;5158.0;2422.0;14.872;17120.0;0.39;0.5349299869921187;0.052930471359215865;0.5084451787637626;33.73443353223448;11.51;13.99;
5585 323 2659 1 14 11503 5.98;1.43;8.26;0.0;0.03;23.83;1.0;26.44;28.96;1.89;24.82;31.77;2.90;2077.0;1904.0;1112.0;1877.0;7240.0;545.0;5572.0;940.0;16.446;14297.0;0.59;0.4336980641212029;0.0013511569207636648;0.031289742051640604;31.769600162729784;1.0;26.44;
5816 704 2499 12 241 11463 6.23;3.12;7.76;0.03;0.5;23.74;2.19;24.84;26.74;2.11;24.85;31.66;6.80;2081.0;1904.0;1108.0;1726.0;7425.0;593.0;5519.0;1072.0;16.410;14609.0;0.56;0.44678246231540286;0.03229976067147722;0.5556688667367058;31.659030100172483;2.19;24.84;
13310 933 2303 13 66 12233 14.26;4.14;7.16;0.03;0.14;25.34;2.9;22.9;22.85;7.87;24.85;33.78;8.43;2081.0;1904.0;1182.0;1173.0;7087.0;775.0;5455.0;2276.0;13.412;15593.0;0.6;0.4294896319534777;0.0324242620089681;0.15145784980913787;33.78476229180375;2.9;22.9;
5774 2095 2599 80 224 8845 6.19;9.30;8.08;0.17;0.46;18.32;6.51;25.84;21.30;2.49;25.03;24.43;19.11;2106.0;1904.0;855.0;1361.0;7891.0;717.0;5553.0;1451.0;16.961;15612.0;0.46;0.5007269110107889;0.20668186837071348;0.5164398454069645;24.427169070462472;6.51;25.84;
14135 2317 1902 3 116 12042 15.14;10.28;5.91;0.01;0.24;24.94;7.2;18.91;16.34;9.64;24.83;33.26;20.83;2078.0;1904.0;1164.0;660.0;7618.0;942.0;5321.0;2792.0;13.082;16673.0;0.52;0.4744050807253807;0.007368820801999531;0.2671781754207423;33.257670469658784;7.2;18.91;
8276 1117 2345 4 189 11645 8.87;4.96;7.28;0.01;0.39;24.12;3.47;23.31;23.56;3.88;24.83;32.16;10.35;2078.0;1904.0;1125.0;1433.0;7451.0;689.0;5469.0;1564.0;15.421;15173.0;0.53;0.4494605555130461;0.010391969174642768;0.4354639026101899;32.15997040103309;3.47;23.31;
13794 3804 1407 14 102 12191 14.78;16.88;4.37;0.03;0.21;25.25;11.82;13.99;10.58;11.65;24.86;33.67;34.00;2082.0;1904.0;1178.0;171.0;8280.0;1100.0;5158.0;3167.0;13.095;17705.0;0.46;0.5313336904124264;0.03628092156335458;0.23575745585204932;33.669119502931615;11.82;13.99;
7074 319 2593 4 328 11510 7.58;1.42;8.06;0.01;0.68;23.84;0.99;25.78;28.09;2.81;24.83;31.79;3.59;2078.0;1904.0;1112.0;1776.0;7200.0;578.0;5550.0;1148.0;15.973;14476.0;0.59;0.43239727599663325;0.010391969174642768;0.7547119089675063;31.78680302519344;0.99;25.78;
7875 3978 1356 3 49 12240 8.44;17.65;4.21;0.01;0.1;25.35;12.36;13.48;11.14;6.80;24.83;33.80;35.42;2078.0;1904.0;1183.0;469.0;8701.0;1000.0;5141.0;2329.0;15.245;17171.0;0.37;0.5462544953707247;0.00851292199416381;0.11299409350956974;33.80314441357422;12.36;13.48;
6116 4909 2765 5 19 4109 6.55;21.79;8.59;0.01;0.04;8.51;15.25;27.49;11.79;5.32;24.83;11.35;43.62;2078.0;1904.0;397.0;590.0;8742.0;979.0;5607.0;2505.0;17.654;17833.0;0.32;0.6139719947968475;0.013279395893256444;0.043698022893814435;11.347365681659056;15.25;27.49;
14737 3942 1394 9 213 11943 15.79;17.50;4.33;0.02;0.44;24.74;12.25;13.85;10.11;12.84;24.84;32.98;35.49;2080.0;1904.0;1154.0;73.0;8283.0;1132.0;5155.0;3342.0;12.819;17912.0;0.47;0.5389853852628357;0.022034268306714993;0.4898936008739088;32.984399874714846;12.25;13.85;
7215 1603 2097 13 174 12111 7.73;7.12;6.51;0.03;0.36;25.09;4.98;20.85;21.27;3.38;24.85;33.45;14.63;2081.0;1904.0;1170.0;1313.0;7748.0;726.0;5387.0;1545.0;15.682;15406.0;0.49;0.46484046216236896;0.03289090848916492;0.399501100328182;33.447558405211076;4.98;20.85;
14717 538 2553 0 23 11684 15.77;2.39;7.93;0.0;0.05;24.2;1.67;25.38;24.86;8.86;24.82;32.27;4.83;2077.0;1904.0;1129.0;1246.0;6793.0;753.0;5538.0;2376.0;13.020;15460.0;0.65;0.4170938862958145;2.499606422047021E-4;0.051993083442450586;32.26863144198779;1.67;25.38;
8560 2419 1905 6 73 11915 9.17;10.74;5.92;0.01;0.15;24.68;7.52;18.94;17.18;4.95;24.83;32.91;21.64;2079.0;1904.0;1151.0;968.0;7984.0;840.0;5323.0;1985.0;15.156;16132.0;0.44;0.48703037722855613;0.014241133553231953;0.16754520130906272;32.907497760260675;7.52;18.94;
5689 1069 2224 5 272 12213 6.09;4.74;6.91;0.01;0.56;25.3;3.32;22.11;24.46;2.17;24.83;33.73;10.11;2078.0;1904.0;1180.0;1579.0;7632.0;639.0;5427.0;1159.0;16.274;14857.0;0.52;0.45451067411431634;0.01175820644038371;0.6270651002426032;33.728401326465764;3.32;22.11;
13330 2261 1917 22 356 11795 14.28;10.04;5.96;0.04;0.74;24.43;7.03;19.06;16.72;8.86;24.88;32.57;20.89;2085.0;1904.0;1140.0;727.0;7673.0;920.0;5327.0;2642.0;13.505;16562.0;0.51;0.47815441120208124;0.05590173686637256;0.8193012846415654;32.57368966089113;7.03;19.06;
8804 3852 1407 21 235 11980 9.43;17.10;4.37;0.04;0.49;24.81;11.97;13.99;11.32;7.26;24.87;33.09;34.74;2084.0;1904.0;1158.0;458.0;8612.0;1004.0;5158.0;2422.0;15.020;17196.0;0.38;0.5427347157395364;0.05316655290403628;0.5400682594154108;33.08593199702483;11.97;13.99;
10303 4074 1489 8 2 11501 11.04;18.08;4.62;0.02;0.0;23.82;12.66;14.8;10.62;8.89;24.84;31.76;36.17;2080.0;1904.0;1111.0;321.0;8548.0;1051.0;5186.0;2722.0;14.497;17507.0;0.4;0.5480909021348228;0.020590199399868475;0.004120097349189575;31.76273354238253;12.66;14.8;
5636 1811 2230 21 187 11138 6.04;8.04;6.93;0.04;0.39;23.07;5.63;22.17;21.46;2.39;24.87;30.76;16.51;2084.0;1904.0;1076.0;1376.0;7882.0;707.0;5430.0;1363.0;16.479;15382.0;0.47;0.4808325043997246;0.05344013281849383;0.42928370248760805;30.758999071388274;5.63;22.17;
14983 1939 1991 3 50 12247 16.05;8.61;6.19;0.01;0.1;25.37;6.02;19.8;17.81;10.06;24.83;33.82;17.32;2078.0;1904.0;1184.0;731.0;7408.0;919.0;5352.0;2816.0;12.727;16495.0;0.55;0.4587956232305455;0.008895494678556841;0.11417559711514792;33.824138907218135;6.02;19.8;
6019 128 2585 2 56 12107 6.45;0.57;8.03;0.0;0.12;25.08;0.4;25.7;29.36;2.12;24.82;33.44;1.27;2077.0;1904.0;1170.0;1891.0;7172.0;539.0;5548.0;951.0;16.172;14210.0;0.6;0.4242864794551994;0.004530760843342453;0.12999424402639834;33.43507412871474;0.4;25.7;
11076 1440 2381 9 267 10900 11.87;6.39;7.40;0.02;0.55;22.58;4.47;23.68;21.56;6.20;24.84;30.10;13.40;2080.0;1904.0;1053.0;1182.0;7392.0;774.0;5480.0;2070.0;14.556;15716.0;0.54;0.4575713520544801;0.024424740538462976;0.6140212742063232;30.102600817699724;4.47;23.68;
10110 4161 1390 9 15 11830 10.83;18.47;4.32;0.02;0.03;24.5;12.93;13.82;10.30;9.05;24.84;32.67;36.97;2080.0;1904.0;1143.0;290.0;8617.0;1060.0;5154.0;2718.0;14.494;17549.0;0.4;0.5517637156630194;0.023789913358537952;0.03434748154678997;32.67172156240594;12.93;13.82;
7150 809 2351 13 194 12064 7.66;3.59;7.30;0.03;0.4;24.99;2.51;23.37;25.27;3.00;24.85;33.32;7.63;2081.0;1904.0;1166.0;1588.0;7416.0;638.0;5470.0;1307.0;15.765;14831.0;0.55;0.4418853776111409;0.032387329897000765;0.44534109475142425;33.31897618200683;2.51;23.37;
5978 538 2553 2 14 11691 6.40;2.39;7.93;0.0;0.03;24.22;1.67;25.38;27.53;2.17;24.82;32.29;4.81;2077.0;1904.0;1130.0;1773.0;7319.0;578.0;5537.0;1063.0;16.247;14497.0;0.57;0.43737087764939936;0.004636658177881165;0.03154221753743754;32.28849333703575;1.67;25.38;
7163 1263 2354 9 0 11562 7.67;5.61;7.31;0.02;0.0;23.95;3.92;23.41;23.39;3.14;24.84;31.93;11.21;2080.0;1904.0;1117.0;1461.0;7548.0;680.0;5471.0;1447.0;15.798;15146.0;0.52;0.4548167419083327;0.024230406405875603;2.3818661625921858E-4;31.932293965167943;3.92;23.41;
6266 5103 2767 5 208 3618 6.71;22.65;8.60;0.01;0.43;7.49;15.86;27.51;11.26;5.81;24.83;9.99;45.78;2078.0;1904.0;350.0;527.0;8818.0;1000.0;5607.0;2599.0;17.744;18024.0;0.32;0.6264442574030148;0.013279395893256444;0.47864456185896403;9.993123062986166;15.86;27.51;
6144 3000 1664 0 357 11921 6.58;13.31;5.17;0.0;0.74;24.69;9.32;16.55;15.22;3.73;24.82;32.92;27.45;2077.0;1904.0;1152.0;905.0;8420.0;858.0;5242.0;1773.0;16.084;16293.0;0.38;0.5164128854541282;8.924321545711883E-4;0.8209513587396817;32.92409477752883;9.32;16.55;
12589 2687 1785 3 323 11841 13.49;11.93;5.55;0.01;0.67;24.53;8.35;17.75;15.00;8.64;24.83;32.70;24.60;2078.0;1904.0;1144.0;627.0;7890.0;952.0;5285.0;2655.0;13.729;16782.0;0.48;0.4929986992118755;0.007047719359109668;0.7434892543148278;32.70138069837609;8.35;17.75;
14949 2700 1773 4 30 12173 16.01;11.99;5.51;0.01;0.06;25.21;8.39;17.63;14.53;10.80;24.83;33.62;24.04;2078.0;1904.0;1176.0;479.0;7726.0;1001.0;5279.0;3029.0;12.710;17035.0;0.51;0.48511745351595376;0.009843494443042932;0.06991907092002889;33.617609790743785;8.39;17.63;
