CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
63 0 279 1498 488 500 190 0.07 0.10 0.00 0.00 1.08 1.62 0.07 0.12 0.00 1.24 -0.540 4771 
2 12 368 519 382 79 156 0.06 0.09 0.23 0.06 0.81 1.41 0.04 0.15 0.00 0.96 -0.390 3716 
95 0 213 1496 1425 867 190 0.07 0.10 0.00 0.00 0.65 2.18 0.06 0.07 0.00 1.30 -0.568 5920 
0 32 353 54 150 7 97 0.00 0.00 0.50 0.76 0.14 0.57 0.00 0.04 0.00 0.05 0.310 3041 
10 0 278 710 519 116 194 0.06 0.09 0.00 0.03 0.81 1.69 0.04 0.19 0.00 1.10 -0.464 4033 
22 0 394 928 515 116 190 0.06 0.09 0.00 0.02 0.92 1.67 0.04 0.16 0.00 1.14 -0.491 4195 
0 57 265 7 115 7 7 0.00 0.00 0.53 0.98 0.02 0.44 0.00 0.00 0.00 0.01 0.424 2961 
0 59 821 60 137 0 0 0.00 0.00 0.53 0.80 0.15 0.52 0.00 0.00 0.00 0.04 0.331 3020 
2 63 110 519 382 79 0 0.06 0.09 0.48 0.07 0.78 1.38 0.04 0.00 0.00 0.94 -0.379 3682 
0 44 134 95 121 4 53 0.00 0.00 0.53 0.68 0.24 0.46 0.00 0.00 0.09 0.04 0.318 3031 
22 0 255 928 515 116 190 0.06 0.09 0.00 0.02 0.92 1.67 0.04 0.16 0.00 1.14 -0.491 4195 
1 57 775 450 307 8 0 0.06 0.09 0.48 0.12 0.86 1.17 0.00 0.00 0.00 0.82 -0.307 3522 
