PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
5586;22;2494;10;1438;11315;2526;1914;20.0;5.98;0.10;7.75;0.03;0.02;2.98;23.44;0.07;24.79;29.79;1.87;24.76;31.25;3.51;2072.0;1898.0;1093.0;1930.0;7317.0;525.0;5521.0;34;817.0;16.847;14201.0;0.61;0.44;0.02578117784044834;3.3105813139317046;31.248913430703933;0.07;24.79;10.47;14.26;
13708;2243;1977;58;1108;10749;1385;1050;2025.0;14.69;9.96;6.14;3.37;0.12;2.29;22.26;6.97;19.65;19.89;8.80;13.71;29.69;22.46;1156.0;1041.0;1039.0;909.0;6097.0;922.0;5706.0;3404;6056.0;12.009;20863.0;0.53;0.43;0.15024863328649127;2.5490136446771947;29.685554457951003;6.97;19.65;5.74;7.82;
14410;3302;1423;3;969;12014;1908;1446;1106.0;15.44;14.66;4.42;1.84;0.01;2.01;24.88;10.26;14.14;13.23;10.84;18.69;33.18;31.54;1563.0;1434.0;1161.0;379.0;7271.0;1064.0;5360.0;1859;4933.0;12.166;19765.0;0.48;0.49;0.0071290668771344995;2.228958823505551;33.1788910675867;10.26;14.14;7.91;10.77;
12949;2772;1827;234;442;11163;1878;1424;1158.0;13.87;12.30;5.68;1.93;0.49;0.91;23.12;8.61;18.17;16.34;8.70;19.00;30.83;25.62;1627.0;1410.0;1079.0;698.0;7039.0;964.0;5501.0;1947;4660.0;12.855;19354.0;0.48;0.47;0.6066908082098371;1.0162289481060458;30.82932019127274;8.61;18.17;7.78;10.61;
14145;3519;1325;10;1150;11969;2492;1889;79.0;15.15;15.62;4.12;0.13;0.02;2.38;24.79;10.93;13.17;11.18;11.48;24.43;33.06;33.88;2044.0;1873.0;1157.0;220.0;8229.0;1084.0;5146.0;133;3218.0;13.222;17758.0;0.47;0.53;0.025643668554416174;2.646666494451344;33.05558077828357;10.93;13.17;10.33;14.07;
14057;1754;1905;203;700;12091;867;657;2936.0;15.06;7.78;5.92;4.88;0.42;1.45;25.04;5.45;18.94;23.03;8.86;9.01;33.39;17.18;787.0;651.0;1168.0;1095.0;5199.0;887.0;5841.0;4935;7516.0;10.765;22461.0;0.58;0.38;0.5244676987020461;1.6111632350703815;33.39230852759222;5.45;18.94;3.59;4.9;
13746;3762;1359;32;1032;11538;1492;1131;1837.0;14.73;16.70;4.22;3.06;0.07;2.14;23.9;11.69;13.51;12.71;10.64;14.69;31.87;35.77;1234.0;1120.0;1115.0;346.0;6914.0;1097.0;5468.0;3088;6186.0;11.873;21553.0;0.45;0.48;0.08198426522663911;2.375261443479629;31.86502400661153;11.69;13.51;6.18;8.43;
7232;524;2370;16;1065;11527;1792;1358;1310.0;7.75;2.32;7.36;2.18;0.03;2.21;23.88;1.63;23.56;28.61;2.92;17.59;31.83;7.10;1473.0;1347.0;1114.0;1787.0;6354.0;612.0;5708.0;2202;3395.0;14.931;17416.0;0.59;0.41;0.04097768097401829;2.4504077787497214;31.833549411218286;1.63;23.56;7.43;10.12;
6683;5318;1006;90;77;11796;493;374;3593.0;7.16;23.60;3.12;5.98;0.19;0.16;24.43;16.52;10.0;11.50;6.94;5.06;32.58;47.39;438.0;370.0;1140.0;433.0;6478.0;1120.0;5661.0;6040;8565.0;12.574;25517.0;0.35;0.49;0.2330514284753076;0.17832137270091883;32.5767934866507;16.52;10.0;2.04;2.79;
13996;1804;2123;128;444;11297;7;5;4448.0;14.99;8.01;6.60;7.40;0.27;0.92;23.4;5.61;21.11;25.97;8.76;0.40;31.20;17.04;54.0;5.0;1092.0;1267.0;3905.0;880.0;6181.0;7477;10077.0;9.524;25615.0;0.6;0.33;0.3320381735383735;1.022025435969909;31.198647364320948;5.61;21.11;.03;.04;
