CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
1114 200 5329 8732.0 6.52 6.64 23.23 3.24 1.05 15.90 2.78 9.44 27.03 53.06 2416.0 2074.0 2865.0 -285.0 7145.0 678.0 2432.0 291.19250071110764 3.271 10507.192500711108 0.44745514463566455 
2337 790 11668 2623.0 14.28 11.32 39.62 2.63 0.85 0.12 1.09 20.39 27.03 56.74 2416.0 2074.0 3064.0 -981.0 6659.0 864.0 2414.0 2021.1925007111076 -3.979 11891.192500711108 0.7865250823874039 
2306 1406 6902 821.0 8.45 11.25 39.39 2.98 0.96 0.00 1.24 14.53 27.03 56.27 2416.0 2074.0 3038.0 -692.0 6922.0 747.0 2424.0 908.1925007111076 -0.529 10926.192500711108 0.5774441596484804 
1981 582 5340 4513.0 6.54 10.38 36.32 4.36 1.40 1.70 1.70 11.76 27.03 54.00 2416.0 2074.0 2916.0 -497.0 6993.0 697.0 2462.0 370.19250071110764 1.325 10464.192500711108 0.49285975833028195 
2344 832 13907 2468.0 17.02 11.33 39.67 2.61 0.84 0.09 1.06 23.12 27.03 56.78 2416.0 2074.0 3066.0 -1072.0 6570.0 920.0 2414.0 2598.1925007111076 -5.565 12434.192500711108 0.8853899670450385 
1315 222 5329 7960.0 6.52 7.68 26.89 3.21 1.04 12.26 2.40 10.11 27.03 53.75 2416.0 2074.0 2902.0 -351.0 7119.0 682.0 2431.0 298.19250071110764 2.667 10487.192500711108 0.4580739655803735 
2344 844 9005 2431.0 11.02 11.33 39.67 2.61 0.84 0.08 1.13 17.19 27.03 56.78 2416.0 2074.0 3066.0 -842.0 6800.0 797.0 2414.0 1352.1925007111076 -2.121 11295.192500711108 0.6708165507140242 
2344 885 9449 2304.0 11.56 11.33 39.67 2.63 0.85 0.07 1.13 17.72 27.03 56.76 2416.0 2074.0 3065.0 -868.0 6773.0 809.0 2414.0 1471.1925007111076 -2.430 11399.192500711108 0.6902233614060783 
2344 1628 8487 0.0 10.39 11.33 39.67 2.70 0.87 0.00 1.16 16.55 27.03 56.67 2416.0 2074.0 3060.0 -809.0 6827.0 789.0 2417.0 1349.1925007111076 -1.741 11303.192500711108 0.6484804101061883 
2337 1365 7240 840.0 8.86 11.32 39.62 2.75 0.89 0.00 1.20 15.04 27.03 56.60 2416.0 2074.0 3056.0 -724.0 6908.0 756.0 2418.0 987.1925007111076 -0.848 10994.192500711108 0.5946539729036983 
2337 896 11209 2294.0 13.72 11.32 39.62 2.68 0.87 0.07 1.11 19.82 27.03 56.68 2416.0 2074.0 3061.0 -959.0 6678.0 853.0 2417.0 1921.1925007111076 -3.648 11801.192500711108 0.7663859392164043 
2337 1417 12783 679.0 15.64 11.32 39.62 2.75 0.89 0.00 1.09 21.72 27.03 56.60 2416.0 2074.0 3056.0 -1026.0 6606.0 895.0 2417.0 2407.1925007111076 -4.741 12249.192500711108 0.8352251922372758 
2344 869 10149 2353.0 12.42 11.33 39.67 2.63 0.85 0.07 1.11 18.57 27.03 56.76 2416.0 2074.0 3065.0 -907.0 6733.0 826.0 2414.0 1647.1925007111076 -2.922 11552.192500711108 0.7206151592823142 
2339 867 6548 2377.0 8.01 11.32 39.63 2.66 0.86 0.08 1.20 14.23 27.03 56.72 2416.0 2074.0 3063.0 -679.0 6960.0 736.0 2414.0 729.1925007111076 -0.381 10771.192500711108 0.5649945075064079 
2344 849 13495 2415.0 16.52 11.33 39.67 2.62 0.84 0.08 1.07 22.62 27.03 56.78 2416.0 2074.0 3066.0 -1057.0 6585.0 910.0 2414.0 2496.1925007111076 -5.274 12337.192500711108 0.8674478213108753 
2349 1622 5744 1.0 7.03 11.34 39.71 2.66 0.86 0.00 1.23 13.29 27.03 56.72 2416.0 2074.0 3063.0 -624.0 7015.0 720.0 2415.0 649.1925007111076 0.172 10720.192500711108 0.5316733797143903 
2340 887 10554 2311.0 12.92 11.33 39.64 2.66 0.86 0.07 1.11 19.04 27.03 56.72 2416.0 2074.0 3063.0 -928.0 6711.0 836.0 2416.0 1753.1925007111076 -3.196 11648.192500711108 0.737824972537532 
2337 900 14794 2282.0 18.11 11.32 39.62 2.69 0.87 0.07 1.06 24.17 27.03 56.68 2416.0 2074.0 3061.0 -1100.0 6536.0 943.0 2416.0 2835.1925007111076 -6.165 12662.192500711108 0.9238374221896741 
2341 1547 5590 262.0 6.84 11.33 39.65 2.72 0.88 0.00 1.24 13.08 27.03 56.64 2416.0 2074.0 3059.0 -611.0 7023.0 715.0 2417.0 598.1925007111076 0.301 10675.192500711108 0.5243500549249359 
2341 1117 11890 1595.0 14.55 11.33 39.65 2.71 0.87 0.02 1.10 20.65 27.03 56.66 2416.0 2074.0 3060.0 -990.0 6645.0 871.0 2417.0 2130.1925007111076 -4.127 11991.192500711108 0.7964115708531674 
2344 906 9971 2238.0 12.20 11.33 39.67 2.64 0.85 0.06 1.12 18.35 27.03 56.75 2416.0 2074.0 3064.0 -898.0 6743.0 822.0 2414.0 1608.1925007111076 -2.795 11518.192500711108 0.7129256682533872 
2344 842 9784 2437.0 11.97 11.33 39.67 2.61 0.84 0.09 1.12 18.13 27.03 56.78 2416.0 2074.0 3066.0 -888.0 6754.0 817.0 2414.0 1550.1925007111076 -2.668 11467.192500711108 0.7048700109849872 
2303 766 14492 2816.0 17.74 11.25 39.36 2.85 0.92 0.16 1.09 23.70 27.03 56.43 2416.0 2074.0 3047.0 -1082.0 6541.0 934.0 2421.0 2735.1925007111076 -5.881 12565.192500711108 0.9077261076528744 
2323 917 10349 2278.0 12.67 11.29 39.51 2.79 0.90 0.07 1.14 18.74 27.03 56.53 2416.0 2074.0 3053.0 -912.0 6716.0 831.0 2420.0 1705.1925007111076 -3.007 11604.192500711108 0.7279384840717685 
2333 833 6069 2503.0 7.43 11.31 39.59 2.68 0.87 0.10 1.22 13.64 27.03 56.68 2416.0 2074.0 3061.0 -644.0 6992.0 723.0 2416.0 601.1925007111076 -0.033 10665.192500711108 0.5441230318564629 
2333 836 7723 2494.0 9.45 11.31 39.59 2.69 0.87 0.09 1.17 15.62 27.03 56.67 2416.0 2074.0 3060.0 -757.0 6879.0 765.0 2415.0 1023.1925007111076 -1.194 11014.192500711108 0.6147931160746979 
2333 833 6355 2503.0 7.78 11.31 39.59 2.68 0.87 0.10 1.21 13.98 27.03 56.68 2416.0 2074.0 3061.0 -664.0 6972.0 731.0 2416.0 674.1925007111076 -0.234 10726.192500711108 0.5562065177590627 
2337 790 8308 2623.0 10.17 11.32 39.62 2.63 0.85 0.12 1.15 16.34 27.03 56.74 2416.0 2074.0 3064.0 -797.0 6843.0 779.0 2414.0 1165.1925007111076 -1.619 11134.192500711108 0.6404247528377883 
2344 906 14666 2238.0 17.95 11.33 39.67 2.64 0.85 0.06 1.06 24.03 27.03 56.75 2416.0 2074.0 3064.0 -1098.0 6542.0 939.0 2415.0 2804.1925007111076 -6.092 12631.192500711108 0.918711094837056 
2337 812 10897 2554.0 13.34 11.32 39.62 2.65 0.85 0.10 1.11 19.45 27.03 56.73 2416.0 2074.0 3063.0 -945.0 6694.0 844.0 2416.0 1828.1925007111076 -3.435 11715.192500711108 0.7528377883559135 
1062 961 5342 6555.0 6.54 6.36 22.28 13.26 4.28 6.83 4.95 8.12 27.03 40.36 2416.0 2074.0 2180.0 -66.0 6678.0 681.0 2709.0 418.19250071110764 5.274 10437.192500711108 0.4785792749908459 
2340 1633 8176 0.0 10.01 11.33 39.64 2.73 0.88 0.00 1.17 16.17 27.03 56.63 2416.0 2074.0 3058.0 -787.0 6846.0 781.0 2418.0 1270.1925007111076 -1.513 11236.192500711108 0.6349322592456977 
2339 1240 9396 1221.0 11.50 11.32 39.63 2.73 0.88 0.01 1.14 17.63 27.03 56.63 2416.0 2074.0 3058.0 -862.0 6771.0 809.0 2417.0 1516.1925007111076 -2.368 11440.192500711108 0.6872940314902967 
2344 1348 14157 868.0 17.33 11.33 39.67 2.70 0.87 0.00 1.07 23.41 27.03 56.68 2416.0 2074.0 3060.0 -1079.0 6557.0 929.0 2416.0 2746.1925007111076 -5.724 12573.192500711108 0.8963749542292201 
1554 186 5383 7235.0 6.59 8.78 30.75 2.34 0.75 9.29 1.93 11.09 27.03 55.53 2416.0 2074.0 2999.0 -441.0 7128.0 688.0 2407.0 309.19250071110764 1.834 10486.192500711108 0.47674844379348225 
1114 344 5329 8286.0 6.52 6.64 23.23 5.41 1.74 13.73 3.11 9.07 27.03 50.35 2416.0 2074.0 2719.0 -242.0 7043.0 679.0 2492.0 314.19250071110764 3.672 10487.192500711108 0.4459904796777737 
2344 860 14234 2381.0 17.42 11.33 39.67 2.62 0.85 0.08 1.06 23.51 27.03 56.77 2416.0 2074.0 3066.0 -1083.0 6558.0 928.0 2414.0 2685.1925007111076 -5.792 12517.192500711108 0.8996704503844746 
2345 891 6576 2281.0 8.05 11.34 39.68 2.63 0.85 0.07 1.20 14.28 27.03 56.76 2416.0 2074.0 3065.0 -682.0 6959.0 737.0 2415.0 741.1925007111076 -0.414 10784.192500711108 0.5668253387037715 
2337 790 7628 2623.0 9.34 11.32 39.62 2.63 0.85 0.12 1.17 15.52 27.03 56.74 2416.0 2074.0 3064.0 -753.0 6887.0 762.0 2415.0 992.1925007111076 -1.142 10989.192500711108 0.6111314536799707 
2332 1303 5927 1050.0 7.25 11.31 39.58 2.78 0.90 0.00 1.24 13.45 27.03 56.55 2416.0 2074.0 3054.0 -632.0 6997.0 722.0 2419.0 643.1925007111076 0.087 10707.192500711108 0.5378982057854266 
2343 1196 12826 1343.0 15.70 11.33 39.66 2.70 0.87 0.01 1.08 21.79 27.03 56.67 2416.0 2074.0 3060.0 -1029.0 6607.0 895.0 2416.0 2383.1925007111076 -4.788 12228.192500711108 0.837422189674112 
2320 849 14600 2499.0 17.87 11.28 39.49 2.78 0.90 0.10 1.08 23.88 27.03 56.54 2416.0 2074.0 3053.0 -1089.0 6539.0 937.0 2419.0 2776.1925007111076 -5.990 12603.192500711108 0.9139509337239107 
2344 833 12366 2465.0 15.13 11.33 39.67 2.61 0.84 0.09 1.08 21.25 27.03 56.78 2416.0 2074.0 3066.0 -1012.0 6630.0 881.0 2414.0 2205.1925007111076 -4.482 12062.192500711108 0.8176492127425851 
2344 1354 8323 850.0 10.19 11.33 39.67 2.70 0.87 0.00 1.16 16.36 27.03 56.68 2416.0 2074.0 3060.0 -798.0 6838.0 783.0 2416.0 1261.1925007111076 -1.627 11223.192500711108 0.6415232515562065 
2340 929 7098 2181.0 8.69 11.33 39.64 2.67 0.86 0.05 1.19 14.88 27.03 56.70 2416.0 2074.0 3062.0 -716.0 6921.0 750.0 2417.0 880.1925007111076 -0.766 10899.192500711108 0.5884291468326621 
1097 236 5329 8680.0 6.52 6.55 22.92 3.82 1.23 15.63 2.90 9.28 27.03 52.29 2416.0 2074.0 2823.0 -268.0 7120.0 678.0 2448.0 297.19250071110764 3.429 10503.192500711108 0.4459904796777737 
2134 876 5329 3066.0 6.52 10.83 37.90 4.23 1.36 0.24 1.55 12.08 27.03 54.45 2416.0 2074.0 2940.0 -529.0 6985.0 701.0 2459.0 418.19250071110764 1.049 10498.192500711108 0.49908458440131825 
2344 1628 9514 0.0 11.64 11.33 39.67 2.70 0.87 0.00 1.14 17.79 27.03 56.67 2416.0 2074.0 3060.0 -871.0 6765.0 814.0 2416.0 1610.1925007111076 -2.463 11526.192500711108 0.6931526913218602 
2344 900 14916 2257.0 18.26 11.33 39.67 2.64 0.85 0.06 1.05 24.34 27.03 56.75 2416.0 2074.0 3065.0 -1106.0 6534.0 946.0 2414.0 2866.1925007111076 -6.268 12691.192500711108 0.9296960820212377 
2344 1628 12783 0.0 15.64 11.33 39.67 2.70 0.87 0.00 1.09 21.74 27.03 56.67 2416.0 2074.0 3060.0 -1028.0 6608.0 896.0 2416.0 2443.1925007111076 -4.759 12284.192500711108 0.8359575247162211 
2337 837 10889 2477.0 13.33 11.32 39.62 2.66 0.86 0.09 1.11 19.44 27.03 56.71 2416.0 2074.0 3063.0 -944.0 6694.0 844.0 2416.0 1830.1925007111076 -3.427 11716.192500711108 0.7524716221164409 
2303 766 9809 2816.0 12.00 11.25 39.36 2.85 0.92 0.16 1.16 18.04 27.03 56.43 2416.0 2074.0 3047.0 -878.0 6744.0 816.0 2420.0 1543.1925007111076 -2.592 11457.192500711108 0.7030391797876235 
2343 1380 13869 773.0 16.97 11.33 39.66 2.70 0.87 0.00 1.07 23.05 27.03 56.66 2416.0 2074.0 3060.0 -1069.0 6567.0 922.0 2416.0 2678.1925007111076 -5.519 12508.192500711108 0.8831929696082021 
2339 1556 11770 241.0 14.40 11.32 39.63 2.74 0.88 0.00 1.10 20.50 27.03 56.62 2416.0 2074.0 3057.0 -984.0 6649.0 870.0 2416.0 2173.1925007111076 -4.034 12030.192500711108 0.7909190772610766 
2332 840 5926 2485.0 7.25 11.31 39.58 2.69 0.87 0.09 1.23 13.47 27.03 56.66 2416.0 2074.0 3060.0 -634.0 7002.0 720.0 2416.0 566.1925007111076 0.071 10636.192500711108 0.5382643720248994 
2344 900 14969 2257.0 18.32 11.33 39.67 2.64 0.85 0.06 1.05 24.40 27.03 56.75 2416.0 2074.0 3065.0 -1108.0 6533.0 947.0 2414.0 2880.1925007111076 -6.305 12705.192500711108 0.931893079458074 
2340 1454 10617 554.0 12.99 11.33 39.64 2.73 0.88 0.00 1.12 19.11 27.03 56.63 2416.0 2074.0 3058.0 -929.0 6704.0 841.0 2417.0 1862.1925007111076 -3.227 11748.192500711108 0.7407543024533139 
2340 792 6380 2606.0 7.81 11.33 39.64 2.62 0.84 0.11 1.20 14.04 27.03 56.77 2416.0 2074.0 3066.0 -668.0 6973.0 731.0 2414.0 675.1925007111076 -0.273 10726.192500711108 0.5580373489564262 
2346 981 9626 1999.0 11.78 11.34 39.68 2.65 0.85 0.04 1.13 17.94 27.03 56.74 2416.0 2074.0 3064.0 -878.0 6761.0 814.0 2415.0 1532.1925007111076 -2.554 11452.192500711108 0.6982790186744783 
2347 1449 9916 545.0 12.14 11.34 39.69 2.68 0.86 0.00 1.12 18.28 27.03 56.70 2416.0 2074.0 3062.0 -894.0 6743.0 823.0 2416.0 1683.1925007111076 -2.753 11589.192500711108 0.7103625045770781 
2346 1616 9408 30.0 11.51 11.34 39.68 2.69 0.87 0.00 1.14 17.67 27.03 56.69 2416.0 2074.0 3061.0 -865.0 6772.0 812.0 2416.0 1581.1925007111076 -2.393 11502.192500711108 0.6887586964481875 
1579 292 5351 6819.0 6.55 8.89 31.12 3.51 1.13 7.75 2.05 10.90 27.03 54.14 2416.0 2074.0 2923.0 -421.0 7072.0 688.0 2439.0 319.19250071110764 2.012 10470.192500711108 0.4741852801171732 
2333 1099 10521 1679.0 12.88 11.31 39.59 2.76 0.89 0.02 1.13 18.97 27.03 56.58 2416.0 2074.0 3055.0 -923.0 6708.0 836.0 2419.0 1779.1925007111076 -3.145 11671.192500711108 0.7359941413401684 
2338 777 11922 2659.0 14.59 11.32 39.63 2.62 0.84 0.12 1.09 20.70 27.03 56.76 2416.0 2074.0 3065.0 -993.0 6648.0 870.0 2414.0 2083.1925007111076 -4.162 11948.192500711108 0.7978762358110583 
1113 878 5328 6634.0 6.52 6.63 23.22 12.06 3.89 7.10 4.53 8.34 27.03 42.04 2416.0 2074.0 2270.0 -106.0 6729.0 682.0 2675.0 402.19250071110764 4.907 10439.192500711108 0.4712559502013915 
2339 1458 8106 545.0 9.92 11.32 39.63 2.74 0.88 0.00 1.17 16.08 27.03 56.62 2416.0 2074.0 3058.0 -783.0 6851.0 778.0 2417.0 1224.1925007111076 -1.461 11194.192500711108 0.6316367630904431 
1903 229 5329 5881.0 6.52 10.12 35.42 2.21 0.71 4.74 1.51 11.99 27.03 56.52 2416.0 2074.0 3052.0 -524.0 7101.0 693.0 2402.0 308.19250071110764 1.083 10452.192500711108 0.49432442328817283 
1420 229 5329 7571.0 6.52 8.19 28.66 3.09 1.00 10.62 2.21 10.47 27.03 54.21 2416.0 2074.0 2927.0 -384.0 7112.0 684.0 2427.0 300.19250071110764 2.355 10478.192500711108 0.46429879165140975 
1113 1004 5344 6243.0 6.54 6.63 23.22 13.34 4.30 5.82 4.88 8.29 27.03 40.44 2416.0 2074.0 2184.0 -80.0 6668.0 683.0 2711.0 427.19250071110764 5.133 10438.192500711108 0.482240937385573 
2346 1100 8808 1630.0 10.78 11.34 39.68 2.67 0.86 0.02 1.15 16.95 27.03 56.71 2416.0 2074.0 3063.0 -829.0 6809.0 794.0 2416.0 1344.1925007111076 -1.975 11292.192500711108 0.6627608934456243 
2334 1190 9315 1393.0 11.40 11.31 39.60 2.76 0.89 0.01 1.15 17.52 27.03 56.58 2416.0 2074.0 3055.0 -856.0 6775.0 807.0 2418.0 1487.1925007111076 -2.299 11415.192500711108 0.6836323690955693 
2334 777 12245 2673.0 14.99 11.31 39.60 2.65 0.85 0.13 1.09 21.08 27.03 56.73 2416.0 2074.0 3063.0 -1005.0 6634.0 878.0 2415.0 2165.1925007111076 -4.379 12025.192500711108 0.8117905529110215 
2348 987 11505 1973.0 14.08 11.34 39.70 2.63 0.85 0.04 1.09 20.21 27.03 56.76 2416.0 2074.0 3065.0 -975.0 6665.0 861.0 2414.0 2012.1925007111076 -3.878 11882.192500711108 0.779934090076895 
2347 1005 10128 1921.0 12.40 11.34 39.69 2.65 0.85 0.03 1.12 18.54 27.03 56.74 2416.0 2074.0 3064.0 -906.0 6733.0 826.0 2416.0 1664.1925007111076 -2.908 11569.192500711108 0.7198828268033688 
1196 796 5328 6597.0 6.52 7.07 24.74 10.65 3.44 6.97 4.02 8.72 27.03 44.07 2416.0 2074.0 2380.0 -161.0 6784.0 683.0 2637.0 390.19250071110764 4.397 10445.192500711108 0.46649578908824607 
2347 1215 13883 1270.0 16.99 11.34 39.69 2.67 0.86 0.01 1.07 23.08 27.03 56.71 2416.0 2074.0 3062.0 -1070.0 6568.0 922.0 2416.0 2655.1925007111076 -5.540 12488.192500711108 0.8842914683266203 
