CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
0 47 253 8 223 1 43 0.00 0.00 0.52 0.69 0.02 0.85 0.00 0.00 0.00 0.14 0.243 3073 
44 1 129 902 442 258 193 0.02 0.02 0.03 0.02 1.02 1.57 0.08 0.18 0.00 1.12 -0.482 4156 
0 38 233 77 385 0 71 0.00 0.00 0.51 0.36 0.18 1.46 0.00 0.01 0.00 0.57 -0.093 3295 
3 50 227 306 296 8 12 0.00 0.01 0.52 0.23 0.70 1.13 0.01 0.00 0.00 0.65 -0.182 3373 
48 0 84 1491 909 584 196 0.01 0.01 0.00 0.00 0.84 2.05 0.06 0.10 0.00 1.27 -0.553 5188 
0 49 250 1 372 3 35 0.00 0.00 0.52 0.50 0.00 1.42 0.00 0.00 0.00 0.49 0.001 3225 
44 1 129 890 442 128 193 0.02 0.02 0.03 0.02 1.02 1.58 0.05 0.19 0.00 1.10 -0.472 4096 
43 0 86 1353 497 117 196 0.01 0.02 0.00 0.01 1.11 1.67 0.03 0.14 0.00 1.19 -0.516 4475 
83 0 96 1067 493 36 196 0.02 0.03 0.00 0.01 1.04 1.67 0.01 0.16 0.00 1.14 -0.493 4278 
0 55 251 4 390 4 14 0.00 0.00 0.52 0.46 0.01 1.49 0.00 0.00 0.00 0.53 -0.031 3246 
0 51 257 3 103 4 28 0.00 0.00 0.52 1.03 0.01 0.39 0.00 0.00 0.00 0.00 0.449 2945 
1 45 249 4 351 8 39 0.00 0.00 0.52 0.52 0.01 1.34 0.01 0.00 0.00 0.45 0.030 3209 
0 49 255 1 259 3 31 0.00 0.00 0.52 0.65 0.00 0.99 0.00 0.00 0.00 0.22 0.190 3106 
0 36 227 353 323 5 73 0.00 0.00 0.51 0.19 0.74 1.23 0.00 0.01 0.00 0.73 -0.238 3434 
41 0 86 1493 436 309 196 0.01 0.02 0.00 0.01 1.22 1.55 0.07 0.15 0.00 1.21 -0.526 4588 
1 45 226 251 361 4 38 0.00 0.00 0.52 0.22 0.54 1.36 0.00 0.00 0.00 0.68 -0.205 3397 
41 0 86 1489 466 326 196 0.01 0.02 0.00 0.01 1.17 1.62 0.07 0.14 0.00 1.22 -0.529 4622 
43 0 93 984 493 401 196 0.01 0.02 0.00 0.01 0.99 1.67 0.10 0.17 0.00 1.16 -0.501 4322 
41 0 86 1486 494 387 196 0.01 0.01 0.00 0.01 1.13 1.66 0.07 0.14 0.00 1.22 -0.532 4672 
0 51 255 3 214 4 28 0.00 0.00 0.52 0.72 0.01 0.82 0.00 0.00 0.00 0.12 0.263 3061 
43 0 99 1021 495 103 196 0.02 0.02 0.00 0.01 1.02 1.68 0.03 0.17 0.00 1.14 -0.492 4232 
0 47 275 1 12 3 43 0.00 0.00 0.52 1.38 0.00 0.05 0.00 0.00 0.00 0.00 0.603 2848 
0 45 253 7 29 2 50 0.00 0.00 0.52 1.30 0.02 0.11 0.00 0.00 0.00 0.00 0.568 2870 
53 0 84 1491 909 309 196 0.01 0.01 0.00 0.00 0.85 2.05 0.04 0.10 0.00 1.26 -0.550 5083 
0 49 253 5 284 2 29 0.00 0.00 0.52 0.62 0.01 1.09 0.00 0.00 0.00 0.29 0.144 3135 
0 49 253 0 305 2 25 0.00 0.00 0.52 0.60 0.00 1.17 0.00 0.00 0.00 0.34 0.115 3153 
0 50 251 0 347 2 32 0.00 0.00 0.52 0.54 0.00 1.33 0.00 0.00 0.00 0.44 0.045 3198 
43 0 85 1365 497 247 196 0.01 0.02 0.00 0.01 1.11 1.67 0.06 0.14 0.00 1.20 -0.523 4535 
49 0 83 1488 1080 471 196 0.01 0.01 0.00 0.00 0.78 2.14 0.05 0.09 0.00 1.28 -0.556 5319 
0 48 255 0 209 2 39 0.00 0.00 0.52 0.73 0.00 0.80 0.00 0.00 0.00 0.10 0.275 3053 
0 48 255 0 185 2 39 0.00 0.00 0.52 0.79 0.00 0.71 0.00 0.00 0.00 0.07 0.315 3028 
43 0 86 1353 445 361 196 0.01 0.02 0.00 0.01 1.17 1.57 0.08 0.15 0.00 1.20 -0.521 4520 
0 51 228 389 323 4 15 0.00 0.00 0.52 0.17 0.79 1.23 0.00 0.00 0.00 0.76 -0.257 3456 
0 50 249 29 29 2 32 0.00 0.00 0.52 1.25 0.07 0.11 0.00 0.00 0.00 0.00 0.544 2885 
0 31 225 237 322 1 98 0.00 0.00 0.48 0.26 0.56 1.23 0.00 0.04 0.00 0.62 -0.157 3352 
50 0 84 1477 844 422 196 0.01 0.01 0.00 0.00 0.88 2.01 0.06 0.10 0.00 1.26 -0.549 5048 
2 35 224 353 322 5 78 0.00 0.00 0.50 0.18 0.74 1.22 0.00 0.02 0.00 0.73 -0.239 3437 
0 56 245 91 28 13 10 0.00 0.00 0.52 1.09 0.23 0.11 0.01 0.00 0.00 0.00 0.474 2933 
2 46 240 32 394 0 27 0.00 0.01 0.52 0.40 0.08 1.50 0.00 0.00 0.00 0.55 -0.066 3272 
2 35 222 353 347 5 78 0.00 0.00 0.50 0.17 0.71 1.31 0.00 0.02 0.00 0.76 -0.259 3463 
0 45 263 13 13 3 50 0.00 0.00 0.52 1.35 0.03 0.05 0.00 0.00 0.00 0.00 0.588 2858 
0 51 245 27 349 4 28 0.00 0.00 0.52 0.49 0.07 1.34 0.00 0.00 0.00 0.47 0.011 3220 
0 55 254 13 259 4 14 0.00 0.00 0.52 0.64 0.03 0.99 0.00 0.00 0.00 0.23 0.177 3115 
0 51 241 127 94 4 28 0.00 0.00 0.52 0.78 0.32 0.36 0.00 0.00 0.00 0.03 0.327 3026 
0 47 252 8 294 1 37 0.00 0.00 0.52 0.60 0.02 1.13 0.00 0.00 0.00 0.32 0.125 3147 
41 0 84 1493 628 309 196 0.01 0.01 0.00 0.01 1.01 1.84 0.05 0.12 0.00 1.24 -0.539 4783 
1 45 182 739 345 86 38 0.00 0.00 0.52 0.07 1.01 1.29 0.04 0.00 0.00 0.98 -0.398 3769 
1 48 250 17 233 9 37 0.00 0.00 0.52 0.66 0.04 0.89 0.01 0.00 0.00 0.17 0.212 3096 
48 47 192 563 356 52 31 0.03 0.05 0.49 0.05 0.89 1.33 0.03 0.00 0.00 0.91 -0.376 3703 
69 0 83 1490 1418 711 196 0.01 0.01 0.00 0.00 0.69 2.26 0.06 0.08 0.00 1.29 -0.564 5789 
69 0 83 1490 1418 711 196 0.01 0.01 0.00 0.00 0.69 2.26 0.06 0.08 0.00 1.29 -0.564 5789 
12 0 130 761 427 211 200 0.01 0.01 0.00 0.03 0.98 1.55 0.08 0.23 0.00 1.08 -0.456 3993 
12 0 116 1075 398 211 196 0.01 0.01 0.00 0.02 1.18 1.46 0.07 0.20 0.00 1.14 -0.486 4183 
73 0 83 1491 1009 380 196 0.01 0.02 0.00 0.00 0.81 2.11 0.05 0.09 0.00 1.27 -0.554 5236 
68 0 83 1491 1296 700 196 0.01 0.01 0.00 0.00 0.72 2.22 0.06 0.08 0.00 1.29 -0.562 5657 
50 0 88 1214 454 268 196 0.01 0.02 0.00 0.01 1.12 1.60 0.07 0.16 0.00 1.18 -0.511 4401 
57 0 83 1486 1263 654 196 0.01 0.01 0.00 0.00 0.72 2.21 0.06 0.08 0.00 1.29 -0.561 5589 
0 47 240 205 66 0 21 0.00 0.00 0.52 0.73 0.52 0.25 0.00 0.00 0.00 0.07 0.289 3050 
0 50 246 42 159 0 32 0.00 0.00 0.52 0.77 0.11 0.61 0.00 0.00 0.00 0.05 0.313 3030 
0 50 243 42 325 0 32 0.00 0.00 0.52 0.51 0.11 1.24 0.00 0.00 0.00 0.43 0.036 3204 
50 0 84 1497 651 214 196 0.01 0.02 0.00 0.00 1.00 1.86 0.04 0.12 0.00 1.24 -0.538 4781 
4 43 224 405 303 4 34 0.00 0.01 0.52 0.17 0.84 1.16 0.00 0.00 0.00 0.75 -0.253 3453 
5 3 147 745 417 155 189 0.00 0.00 0.07 0.04 0.98 1.52 0.06 0.21 0.00 1.06 -0.443 3933 
0 52 267 8 13 0 25 0.00 0.00 0.52 1.36 0.02 0.05 0.00 0.00 0.00 0.00 0.595 2852 
9 0 182 667 364 81 200 0.01 0.01 0.00 0.05 1.04 1.37 0.04 0.29 0.00 1.00 -0.413 3815 
0 50 250 24 196 4 32 0.00 0.00 0.52 0.72 0.06 0.75 0.00 0.00 0.00 0.10 0.270 3058 
0 50 261 1 27 2 32 0.00 0.00 0.52 1.32 0.00 0.10 0.00 0.00 0.00 0.00 0.578 2863 
0 46 237 419 365 4 35 0.00 0.00 0.52 0.14 0.76 1.36 0.00 0.00 0.00 0.83 -0.302 3522 
0 43 251 8 69 4 57 0.00 0.00 0.51 1.14 0.02 0.26 0.00 0.01 0.00 0.00 0.499 2914 
67 0 83 1495 890 467 196 0.01 0.02 0.00 0.00 0.86 2.04 0.06 0.10 0.00 1.27 -0.552 5144 
0 41 249 7 240 2 63 0.00 0.00 0.52 0.67 0.02 0.92 0.00 0.00 0.00 0.18 0.215 3092 
0 53 250 20 266 4 21 0.00 0.00 0.52 0.62 0.05 1.02 0.00 0.00 0.00 0.26 0.157 3128 
5 50 198 539 354 193 20 0.00 0.01 0.52 0.08 0.86 1.32 0.10 0.00 0.00 0.93 -0.372 3681 
0 50 249 2 403 0 32 0.00 0.00 0.52 0.44 0.00 1.53 0.00 0.00 0.00 0.55 -0.046 3257 
1 50 205 497 365 0 20 0.00 0.00 0.52 0.11 0.83 1.36 0.00 0.00 0.00 0.87 -0.332 3579 
0 60 245 49 220 2 0 0.00 0.00 0.52 0.63 0.12 0.84 0.00 0.00 0.00 0.17 0.203 3100 
5 42 200 527 354 158 43 0.00 0.01 0.52 0.08 0.86 1.32 0.08 0.00 0.00 0.92 -0.364 3659 
0 42 226 356 355 21 34 0.00 0.00 0.52 0.16 0.70 1.33 0.01 0.00 0.00 0.78 -0.266 3471 
1 42 225 289 277 2 38 0.00 0.00 0.52 0.27 0.70 1.06 0.00 0.00 0.00 0.59 -0.143 3335 
0 59 250 14 327 0 0 0.00 0.00 0.52 0.55 0.04 1.25 0.00 0.00 0.00 0.41 0.063 3186 
4 56 201 516 360 26 1 0.00 0.01 0.52 0.10 0.85 1.34 0.01 0.00 0.00 0.88 -0.342 3603 
49 0 84 1495 739 214 196 0.01 0.01 0.00 0.00 0.94 1.94 0.04 0.11 0.00 1.24 -0.542 4869 
0 51 183 745 411 155 17 0.00 0.00 0.52 0.06 0.89 1.45 0.06 0.00 0.00 1.03 -0.425 3869 
12 0 117 934 425 262 196 0.01 0.01 0.00 0.03 1.07 1.53 0.08 0.21 0.00 1.12 -0.479 4131 
5 50 240 40 125 0 28 0.02 0.03 0.50 0.83 0.10 0.48 0.00 0.00 0.00 0.02 0.356 3010 
0 43 251 6 221 2 57 0.00 0.00 0.52 0.70 0.02 0.85 0.00 0.00 0.00 0.13 0.248 3071 
38 0 89 1480 439 370 196 0.01 0.02 0.00 0.01 1.21 1.56 0.07 0.15 0.00 1.21 -0.527 4603 
12 0 136 761 338 211 200 0.01 0.01 0.00 0.04 1.15 1.28 0.09 0.27 0.00 1.04 -0.438 3909 
0 43 230 205 296 0 35 0.00 0.00 0.52 0.33 0.51 1.13 0.00 0.00 0.00 0.53 -0.090 3291 
0 44 248 24 91 2 53 0.00 0.00 0.52 1.02 0.06 0.35 0.00 0.01 0.00 0.00 0.446 2948 
0 43 240 49 309 2 51 0.00 0.00 0.52 0.52 0.12 1.18 0.00 0.00 0.00 0.40 0.054 3194 
0 50 246 42 125 0 32 0.00 0.00 0.52 0.87 0.11 0.48 0.00 0.00 0.00 0.02 0.370 2995 
8 30 192 667 361 13 92 0.01 0.01 0.47 0.07 0.96 1.34 0.01 0.03 0.00 0.95 -0.385 3721 
50 0 84 1500 563 295 196 0.01 0.02 0.00 0.00 1.07 1.76 0.05 0.12 0.00 1.23 -0.536 4725 
0 72 261 2 63 0 0 0.00 0.00 0.52 1.19 0.01 0.24 0.00 0.00 0.00 0.00 0.518 2904 
1 51 255 3 120 2 27 0.00 0.01 0.52 0.96 0.01 0.46 0.00 0.00 0.00 0.01 0.417 2965 
1 33 237 77 120 0 92 0.00 0.01 0.49 0.79 0.19 0.46 0.00 0.03 0.00 0.03 0.333 3025 
0 42 245 26 282 2 58 0.00 0.00 0.52 0.59 0.07 1.08 0.00 0.00 0.00 0.30 0.124 3149 
0 39 228 331 334 1 60 0.00 0.00 0.52 0.19 0.70 1.27 0.00 0.01 0.00 0.72 -0.232 3426 
38 0 90 1208 439 210 196 0.01 0.02 0.00 0.01 1.15 1.56 0.06 0.17 0.00 1.17 -0.506 4346 
0 3 191 667 362 82 191 0.00 0.00 0.07 0.06 1.03 1.36 0.04 0.25 0.00 0.99 -0.406 3792 
1 50 244 47 138 4 31 0.00 0.01 0.52 0.81 0.12 0.53 0.00 0.00 0.00 0.03 0.339 3017 
0 53 228 253 289 1 8 0.00 0.00 0.52 0.29 0.61 1.11 0.00 0.00 0.00 0.58 -0.126 3319 
0 50 257 2 40 0 32 0.00 0.00 0.52 1.27 0.01 0.15 0.00 0.00 0.00 0.00 0.556 2876 
0 43 226 405 176 0 34 0.00 0.00 0.52 0.29 0.99 0.67 0.00 0.00 0.00 0.52 -0.102 3311 
16 30 192 669 375 8 92 0.01 0.02 0.47 0.06 0.93 1.38 0.00 0.02 0.00 0.96 -0.392 3746 
38 0 90 1208 439 210 196 0.01 0.02 0.00 0.01 1.15 1.56 0.06 0.17 0.00 1.17 -0.506 4346 
862 0 82 1495 1438 1095 196 0.01 0.01 0.00 0.00 0.68 2.26 0.06 0.07 0.00 1.30 -0.566 5980 
0 57 284 1 2 0 7 0.00 0.00 0.52 1.42 0.00 0.01 0.00 0.00 0.00 0.00 0.621 2835 
862 0 82 1495 1438 1095 196 0.01 0.01 0.00 0.00 0.68 2.26 0.06 0.07 0.00 1.30 -0.566 5980 
0 51 229 297 314 1 14 0.00 0.00 0.52 0.23 0.67 1.20 0.00 0.00 0.00 0.67 -0.190 3378 
54 0 83 1498 1449 901 196 0.01 0.01 0.00 0.00 0.68 2.27 0.06 0.07 0.00 1.30 -0.565 5887 
0 63 263 1 24 3 0 0.00 0.00 0.52 1.34 0.00 0.09 0.00 0.00 0.00 0.00 0.583 2861 
0 59 248 34 189 2 0 0.00 0.00 0.52 0.71 0.09 0.72 0.00 0.00 0.00 0.09 0.271 3056 
