PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;LPG_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualLPGBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;LPGConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;LPGBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
11455;818;2215;96;160;14779;2674;2027;155.0;14.01;0.57;6.90;0.26;0.2;0.33;30.67;2.55;22.07;8.80;13.34;26.43;44.08;0.37;2226.0;2009.0;2380.0;-69.0;6685.0;791.0;3239.0;260.55;3673.393416960653;4.409;14808.280537680343;0.6640671865626874;0.3360854396977379;0.2501759554700982;0.3699263839406484;40.89393645601853;2.55;22.07;11.08;15.1;
8497;3458;1249;68;720;14927;2752;2086;18.0;10.39;2.42;3.89;0.03;0.14;1.49;30.98;10.76;12.44;5.36;11.37;27.12;54.76;1.66;2279.0;2067.0;2957.0;-222.0;7529.0;990.0;2895.0;30.26;4550.1127119904195;4.012;16012.873796977223;0.555813953488372;0.2855780376810032;0.17708282215166757;1.6604584431996439;41.302897089269266;10.76;12.44;11.4;15.54;
34889;3396;1847;362;439;12138;2106;1597;1153.0;42.66;2.38;5.75;1.92;0.75;0.91;25.19;10.57;18.4;7.10;41.59;21.57;46.80;1.01;1862.0;1583.0;2527.0;-698.0;5567.0;1483.0;3293.0;1938.19;9014.170866786668;-13.892;22480.58925510798;1.4384047267355984;0.2887457444980837;0.9401401351524585;1.0120147136375595;33.58792143029644;10.57;18.4;8.73;11.9;
29487;7221;1822;89;237;6993;1219;924;2713.0;36.06;5.06;5.67;4.51;0.18;0.49;14.51;22.48;18.15;7.48;35.53;12.16;47.45;0.55;1031.0;916.0;2562.0;-639.0;4052.0;1676.0;3561.0;4560.55;10415.121989425554;-12.764;27053.50107660311;1.182893289328933;0.2197753692072473;0.22977944238913411;0.5462835159225907;19.350406077496526;22.48;18.15;5.05;6.88;
41937;9932;1315;34;1163;4488;959;727;3170.0;51.28;6.96;4.09;5.27;0.07;2.41;9.31;30.92;13.1;5.84;51.83;9.48;51.07;2.68;799.0;720.0;2758.0;-928.0;4040.0;2165.0;3474.0;5328.77;14000.329779871992;-23.309;32266.698635881152;1.6226786719189645;0.1923735165808871;0.08763100077075832;2.6825728093191876;12.419917128817927;30.92;13.1;3.97;5.42;
33265;12905;1325;703;28;447;163;123;4570.0;40.68;9.04;4.13;7.60;1.46;0.06;0.93;40.17;13.2;6.88;41.98;3.42;51.45;0.06;398.0;123.0;2778.0;-826.0;2540.0;2225.0;3726.0;7682.17;14350.989985023922;-19.199;35221.88767333997;1.2888419941967817;0.14065927647971344;1.8231838019238957;0.06492772149315251;1.2377408692569134;40.17;13.2;.68;.92;
39828;3389;1276;99;1065;14525;841;638;3377.0;48.70;2.37;3.97;5.62;0.21;2.21;30.14;10.55;12.71;9.09;47.70;8.50;53.38;2.46;726.0;633.0;2882.0;-644.0;4235.0;1611.0;3496.0;5676.73;9708.753625194862;-19.383;28198.874958552253;1.5876432764886776;0.24312189431788486;0.25684307314435606;2.45634610786623;40.19014550340488;10.55;12.71;3.49;4.75;
19414;10474;1122;155;152;5491;2748;2083;25.0;23.74;7.34;3.49;0.04;0.32;0.32;11.4;32.61;11.18;2.06;26.72;27.31;55.95;0.35;2309.0;2065.0;3021.0;-968.0;6563.0;1767.0;2854.0;42.02;10533.150712575649;-6.886;21784.874441723983;0.9686974082800403;0.2223491207845595;0.40326147023143694;0.3505852631748189;15.19498572202077;32.61;11.18;11.39;15.52;
8612;6582;1151;147;75;11276;2609;1978;269.0;10.53;4.61;3.58;0.45;0.3;0.15;23.4;20.49;11.47;3.94;12.17;25.93;56.81;0.17;2193.0;1960.0;3068.0;-361.0;6951.0;1243.0;2906.0;452.19;6396.491102975796;2.128;18225.198428611904;0.5332671300893743;0.2382384747141385;0.3810541813731683;0.17221457171125187;31.20056158424562;20.49;11.47;10.81;14.74;
8625;8321;1223;252;536;7756;2224;1686;946.0;10.55;5.83;3.81;1.57;0.52;1.11;16.1;25.9;12.19;3.98;12.09;22.43;53.84;1.24;1916.0;1672.0;2907.0;-361.0;6480.0;1377.0;3051.0;1590.23;7463.116640356048;1.493;20933.78255132913;0.5091888466413181;0.22105015264176486;0.6536270669243368;1.2351373521086266;21.4620631701987;25.9;12.19;9.22;12.56;
40213;8126;1740;26;454;5876;47;35;4774.0;49.17;5.69;5.42;7.94;0.05;0.94;12.19;25.3;17.33;10.12;48.74;0.52;47.88;1.05;48.0;34.0;2585.0;-622.0;2347.0;1967.0;3898.0;8025.09;12726.342578654117;-21.776;33870.86589682059;1.488619119878604;0.18747386626872717;0.06770283420289892;1.0470550810880304;16.259195239448406;25.3;17.33;.19;.26;
5953;10522;1092;140;1111;4621;2745;2081;30.0;7.28;7.37;3.40;0.05;0.29;2.31;9.59;32.76;10.88;2.31;10.63;27.25;53.73;2.56;2302.0;2063.0;2902.0;-390.0;7540.0;1503.0;2845.0;50.43;8314.319627412688;2.910;20283.588102390695;0.4367195410057375;0.2271741184496927;0.36330276385333565;2.562664314517415;12.787790184186283;32.76;10.88;11.38;15.51;
29487;8016;1844;89;262;5670;1219;924;2713.0;36.06;5.61;5.74;4.51;0.18;0.54;11.77;24.95;18.37;7.15;35.69;12.16;46.88;0.60;1031.0;916.0;2531.0;-667.0;4007.0;1738.0;3567.0;4560.55;10898.640079017745;-13.031;27560.019166195296;1.1759538841614054;0.21390085952995805;0.23037877114400093;0.6039365975138067;15.688016900054356;24.95;18.37;5.05;6.88;
